id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106102368469494	,P2yKwzxiK,"24.9.4号顾客，术后两个月半反馈，感谢姑娘的反馈与分享❤️❤️❤️#费安军术后反馈#  术后即刻：
网页链接",,,,,2024-11-29T17:38:53,,0,0,0,费安军术后反馈,,2024-11-29 17:38:53,False,7964565895,CHERRY切瑞切切,5105639392544860	,P2mHNaG28,太喜欢现在的自己了，幼态了好多 @珈禾医师费安军 ,,"https://wx2.sinaimg.cn/large/008H0vqfly1hw1ribo7psj32c0340qv7.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rie49mjj32c0340kjn.jpg,https://wx4.sinaimg.cn/large/008H0vqfly1hw1rigize0j32c03404qs.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1riiryyxj32c0340u0z.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rikxwwaj32c0340u0z.jpg,https://wx1.sinaimg.cn/large/008H0vqfly1hw1ri6yf0mj32c0340kjo.jpg,https://wx4.sinaimg.cn/large/008H0vqfly1hw1ripkhbdj32c0340kjo.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rl4fm9kj32c0340x6s.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rin7f2ej32c0340b2c.jpg",,,2024-11-28T10:59:12,iPhone客户端,1,0,1,,珈禾医师费安军,2024-11-28 10:59:12
5105983712135055	,P2vF98Xqn,"23.10.4号顾客，偏华丽鼻型术后一年反馈，感谢姑娘分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,https://wx1.sinaimg.cn/large/006yLZHrgy1hvzpwvx18hj31hc1z1ngn.jpg,,,2024-11-29T09:47:24,,2,0,0,费安军术后反馈,,2024-11-29 09:47:24,True
5105769510865379	,P2q5F3D7J,"23.8.28号顾客，术后一年多的反馈，感谢姑娘分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx1.sinaimg.cn/large/006yLZHrgy1hw26n1y6dnj31hc280tzy.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvzpvrpneaj31hc1z17wh.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hw26n2wn7mj31hc1z1e81.jpg",,,2024-11-28T19:36:14,,0,0,1,费安军术后反馈,,2024-11-28 19:36:14,True
5105717688402340	,P2oK4zfPC,"11月12号顾客 #费安军鼻整形# 
 
顾客有过一次隆鼻史，术前整体精致度欠佳。山根高、通天、鼻额角不明显。山根起点偏上、整体偏长。鼻头尖、朝天、露鼻孔明显，正面不够秀气。
顾客喜欢自然的鼻子，山根降低，鼻额角自然精致有弧度。鼻背微起伏、轻微上转折，鼻头圆润微盒、下小叶饱满、海鸥线平缓。鼻头鼻翼缘同时拉出，改善朝天和露鼻孔的问题。正面适当宽窄宽，增加骨节感。
方案：耳软骨假体隆鼻（射极峰）+舒铂+鼻中隔重建+筋膜+鼻翼缘退缩矫正",,"https://wx1.sinaimg.cn/large/006yLZHrgy1hw20ny26t4j31hc1hch15.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvzpn55oz5j31hc1hch3n.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hw20o0t469j31hc1hcapu.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hw20o2h0fpj31z91hc1kx.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hw20o6rpohj31hc1hck6v.jpg,https://wx1.sinaimg.cn/large/006yLZHrly1hw20oihy5uj30zk0k00u0.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hw20o7962pj30zg1baq9b.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hw20o7opsoj30zg1bagrv.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hw20o8adphj31ba0zgdn6.jpg","https://f.video.weibocdn.com/o0/SbSPsj0alx08jWty5Iuc010412008dGq0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732882954&ssig=T3MzKD6LT3&KID=unistore,video",,2024-11-28T16:10:19,,1,0,0,费安军鼻整形,,2024-11-28 16:10:19,True
5105667503817890	,P2nr8g1cS,感恩相遇，一路共赴美好时光~ ,,https://wx1.sinaimg.cn/large/006yLZHrgy1hw1uxbii5rj30u31gfwo0.jpg,,,2024-11-28T12:50:54,,1,0,0,,,2024-11-28 12:50:54,True
5105447325665211	,P2hI0nLMn,"22.10.20号顾客，术后两年的长期反馈，感谢姑娘分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx3.sinaimg.cn/large/006yLZHrgy1hvzprokedfj31hc2801dt.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hw15mzpxmzj31hc280nll.jpg",,,2024-11-27T22:16:00,,0,0,0,费安军术后反馈,,2024-11-27 22:16:00,True
5105275553711060	,P2deXfzpO,"23.2.27号顾客，自然精致鼻型术后一年8个月反馈，感谢姑娘分享🌸🌸🌸#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx2.sinaimg.cn/large/006yLZHrgy1hw0lwprry0j31hc1z1axd.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hw0lwof5agj31hc1z1tx1.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hw0lwrbvwlj31hc2zgkjl.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hw0lwsg8c5j31hc2a0b29.jpg",,,2024-11-27T10:53:26,,1,0,0,费安军术后反馈,,2024-11-27 10:53:26,True
5105018913686209	,P26z1fsWZ,"24.9.3号顾客，术前#鼻翼缘退缩# 很明显，现在术后两个月，改善很明显。姑娘恢复的也很不错，感谢分享#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx3.sinaimg.cn/large/006yLZHrly1hvzsfhlfk2j30k00zkq41.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvzpyzmy6oj31hc1z17wh.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvzsfg0jlrj31hc1w57wh.jpg","https://f.video.weibocdn.com/o0/kNv65AZDlx08jToRzgww010412005hfJ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732882953&ssig=sL7N9uy7UV&KID=unistore,video",,2024-11-26T17:53:38,,1,0,1,"鼻翼缘退缩,费安军术后反馈",,2024-11-26 17:53:38,True
5104889011373892	,P23bv5Lpy,"23.2.10号顾客，术后一年九个月的反馈，感谢姑娘分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx3.sinaimg.cn/large/006yLZHrgy1hvzdikciz5j31hc29j1kx.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvzdijar1pj31hc2804n0.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hvzdiladzzj31hc280av9.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvzdimc9xmj31hc280twu.jpg",,,2024-11-26T09:17:27,,0,0,0,费安军术后反馈,,2024-11-26 09:17:27,True
5104564661390228	,P1UKm5PF2,"11月10号顾客 #费安军鼻整形# 
 
顾客有过一次隆鼻史，术前整体精致度欠佳。面中轻微凹陷，鼻背形态较直、缺乏真实感。正面立体度欠佳、鼻翼宽大外扩。鼻翼缘呈三角形退缩。
顾客喜欢自然偏华丽、英气一点的鼻型。鼻额角适当明显、鼻背微起伏较明显且偏上、轻微上转折（落差不要太大）。鼻头圆润精致、不要太翘、鼻头高度与鼻背起伏一致。面中尽量拉出。正面适当宽窄宽、增加骨骼感。
方案：耳软骨假体隆鼻（立秀）+舒铂+鼻中隔重建+鼻翼外切+皮瓣推进+耳廓复合组织瓣",,"https://wx3.sinaimg.cn/large/006yLZHrgy1hvyc8xzo68j31hc1hcdwb.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvyc8yqq8lj31hc1hctq5.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvyc8zezhcj31hc1hctpg.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvyc903a97j31z91hc1kx.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvyc90kvp6j31hc1hcqi1.jpg,https://wx1.sinaimg.cn/large/006yLZHrly1hvyc9h1xw9j30zk0k03zi.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvyc90x392j30zg1baq9u.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvyc91eqwkj30zg1bagr9.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvyc91ss09j30zg1ba790.jpg","https://f.video.weibocdn.com/o0/Iv2X3oLzlx08jRoU79Ru010412008mDS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732882954&ssig=CC%2BdpUsw4U&KID=unistore,video",,2024-11-25T11:48:36,,0,0,0,费安军鼻整形,,2024-11-25 11:48:36,True
5104310100951961	,P1O7M3ZEd,"23.6.13号顾客，#无假体#圆润鼻头 术后一年五个月反馈🌸🌸🌸#费安军术后反馈# 
术后即刻：
网页链接
 ",,https://wx4.sinaimg.cn/large/006yLZHrgy1hvxj12p9r6j31hc280dqj.jpg,,,2024-11-24T18:57:04,,1,0,0,"无假体,费安军术后反馈",,2024-11-24 18:57:04,True
