id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105739766693987	,P2pjGs5px,！,,,,,2024-11-28T17:38:02,iPhone客户端,0,0,0,,,2024-11-28 17:38:02,False,5615460781,大白慢慢变美,5105717117977292	,P2oJ9xtg0,"保持长久心情舒畅的两个准则：
1⃣️关我屁事
2⃣️关你屁事
与自己无关的事不参与、不讨论、不关注
远离负能量的人、事和信息
与自己有关的事遵循内心的声音
不被外人裹挟 ",,,,,2024-11-28T16:08:03,iPhone 13 Pro Max,23,2,4,,,2024-11-28 16:08:03
5105512616296927	,P2jpjqq7l,"我笑起来真不好，感觉像表情包那个猫…
第一是肌肉乱飞，第二就是牙弓太宽了，搞得颊廊窄！
呜呜，这个我感觉我不好整
只能这样了
好的牙口真的对笑容太重要了！ ",,"https://wx2.sinaimg.cn/large/008vHv1Vgy1hw1d3sui9ej30u00zk40n.jpg,https://wx3.sinaimg.cn/large/008vHv1Vgy1hw1d3t9lpxj30u0142n26.jpg,https://wx3.sinaimg.cn/large/008vHv1Vgy1hw1d4v9xpij30h7076wfi.jpg",,,2024-11-28T02:35:26,iPhone客户端,3,3,0,,,2024-11-28 02:35:26,True
5105500861497416	,P2j6m6hxS,"睡不着，我来写个微博吧hhh
【颊脂垫】我这次找ljf轮廓不是取了颊脂垫吗宝宝们，我感觉对于有点发腮肉肉脸女生还是很管用的，正面轻薄了很多！（但是肉没那么多别轻易尝试哈，老了小心颊凹
可以看看我取颊脂垫手术之前嘟照片宝宝们～正面还是有点babyface感，显得不精致清冷，笑起来尤为明显
颊脂垫这个项目对我来说真的是好项目！嘻嘻",,"https://wx2.sinaimg.cn/large/008vHv1Vgy1hw1bqk2206j31tv2g8e81.jpg,https://wx1.sinaimg.cn/large/008vHv1Vgy1hw1bqnbix5j31v62kne81.jpg,https://wx4.sinaimg.cn/large/008vHv1Vgy1hw1bqqx790j32c03404qq.jpg,https://wx4.sinaimg.cn/large/008vHv1Vgy1hw1bqwqal5j32c03401ky.jpg,https://wx2.sinaimg.cn/large/008vHv1Vgy1hw1br5dhp8j32c03401ky.jpg,https://wx3.sinaimg.cn/large/008vHv1Vgy1hw1brcz32gj32c03401ky.jpg,https://wx2.sinaimg.cn/large/008vHv1Vgy1hw1brnsz3pj32c03404qq.jpg,https://wx2.sinaimg.cn/large/008vHv1Vgy1hw1bqimgkij31sa2f6b29.jpg,https://wx4.sinaimg.cn/large/008vHv1Vgy1hw1brzc3dxj31q92g87wh.jpg,https://wx4.sinaimg.cn/large/008vHv1Vgy1hw1bs5xffbj32c03401ky.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003fl592gx08jVwgIhA30f0f01008zTx0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0001jN1agx08jVwh487Z0f0f0100fyEB0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004ju5SUgx08jVwhG9600f0f0100rDPj0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003yI0RBgx08jVwiDERW0f0f0100qdU30k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002BLltPgx08jVwjs0AT0f0f0100o6ps0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0041XLBZgx08jVwkGChq0f0f0100ogVU0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000vBFOogx08jVwlIs2H0f0f0100rA7d0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003JZ4Hxgx08jVwm7OkE0f0f0100fzQT0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003SgjlYgx08jVwmN5Qk0f0f0100jc9K0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001RBw0Pgx08jVwnELll0f0f0100mr0T0k01.mov,,2024-11-28T01:48:43,iPhone客户端,7,3,0,,,2024-11-28 01:48:43,True
5105462109012857	,P2i5QBOEF,"哈哈哈哈 我又真实了 
费人挺好的 好玩，挺聊得来哈哈哈哈 ",,https://wx2.sinaimg.cn/large/008vHv1Vgy1hw17boxztjj31sc2dskjl.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002LpAW9gx08jVlMDs480f0f0100iWID0k01.mov,,2024-11-27T23:14:44,iPhone客户端,8,17,0,,,2024-11-27 23:14:44,True
5105302049654583	,P2dVGEvB5,"来了 祝我自己这次上岸，整运继续好到爆 
宁波·珈禾整形医院
 ",,https://wx2.sinaimg.cn/large/008vHv1Vgy1hw0oxyu9bgj30ty11faet.jpg,,宁波·珈禾整形医院,2024-11-27T12:38:43,iPhone客户端,9,7,0,,,2024-11-27 12:38:43,True
5105160181514486	,P2aeS6lZc,特么的又开始轮廓焦虑了……我什么时候能整到自己想要的样子 ,,,,,2024-11-27T03:14:59,iPhone客户端,0,2,0,,,2024-11-27 03:14:59,True
5104724250989955	,P1YTL49x1,转发微博,,,,,2024-11-25T22:22:45,iPhone客户端,4,0,1,,,2024-11-25 22:22:45,False,7831357768,整运好到爆,5104722977753000	,P1YRHwwUo,"轮廓功课——下颌角要不要留角？
总结一下：按照我的胶条大法！正面后置远拍，能看得到胶条的不要留🙅♀️看不到的可以留，但不要太大👐#轮廓##下颌角# ",,"https://wx4.sinaimg.cn/large/008xZzU4ly1hvyudzteg6j30u01t2gu3.jpg,https://wx4.sinaimg.cn/large/008xZzU4ly1hvyudzhndmj30u01t2qaw.jpg,https://wx2.sinaimg.cn/large/008xZzU4ly1hvyue0ynr0j30u01t2n4a.jpg,https://wx2.sinaimg.cn/large/008xZzU4ly1hvyue2e4fij30u01t2grd.jpg,https://wx4.sinaimg.cn/large/008xZzU4ly1hvyue3wdiyj30u01t2q90.jpg,https://wx3.sinaimg.cn/large/008xZzU4ly1hvyue543vlj30u01t2afk.jpg,https://wx4.sinaimg.cn/large/008xZzU4ly1hvyue66l93j30u01t2wjr.jpg,https://wx2.sinaimg.cn/large/008xZzU4ly1hvyue79ycaj30u01t2n2r.jpg",,,2024-11-25T22:17:42,iPhone客户端,17,4,15,"轮廓,下颌角",,2024-11-25 22:17:42
5104598941437577	,P1VDE61YJ,转发微博,,,,,2024-11-25T14:04:49,iPhone客户端,0,0,0,,,2024-11-25 14:04:49,False,1070405585,张勍枫医生微博,4961465914624289	,NpN0zjoZj,"恢复期的忌口问题
有些顾客做完手术以后这不敢吃，那不敢碰的，担心因为自己胡乱吃东西对手术效果有影响
有时候吃了一个东西突然发现这个是不是不能吃，担心好半天。
本文也针对于恢复期一些模棱两可的事情，今天给予一些解答，虽说个体之间存在差异，但总的原则严格一点是好事。
因为有的顾客做完以后就开始在朋友圈发火锅龙虾了，结果恢复期也恢复很不错，有的顾客忌口做的很好，还是出现了比较严重的增生。
这个就是属于个体差异带来的影响。
除了个体差异还有个体的基础，如多次修复或者皮肤条件不太好的顾客，术后恢复期肯定需要遵守恢复期护理建议的。
恢复期忌口，我将忌口食物分为三档，其中第三档是严禁的。
1.牛羊肉，一般来说这种在中医称之为发物，对恢复期有影响，但是我根据个人的临床经验来看，实际上少吃一点不碍事。
2.油腻油炸食物为第二档，属于能不吃就不吃的。
3.烟酒，辛辣刺激食物，海鲜等。第三类为术后严格忌口食物，不要碰。
恢复期护理是手术室的延续，所以大家一块加油，不懂得可以评论区提出。",,,,,2023-10-27T14:45:16,,25,32,9,,,2023-10-27 14:45:16
5103923129749340	,P1E3CEUfq,瘦了 ,,https://wx4.sinaimg.cn/large/008vHv1Vgy1hvwakz786zj31n2140gqv.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002FF0pegx08jOzQbUog0f0f0100gZfU0k01.mov,,2024-11-23T17:19:23,iPhone客户端,7,4,0,,,2024-11-23 17:19:23,True
5103573914616156	,P1uYnjmS8,"现在vs两年前vs五年前
666大变活人了
我整商美商一直在进步 我真棒
 ",,"https://wx1.sinaimg.cn/large/008vHv1Vgy1hvv6g2kvxyj31sc2dskjl.jpg,https://wx1.sinaimg.cn/large/008vHv1Vgy1hvv6g3f1u9j30k00zkjv9.jpg,https://wx2.sinaimg.cn/large/008vHv1Vgy1hvv6g409ohj30u0140458.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002pID7Ygx08jN2xPvOM0f0f0100lwfh0k01.mov,,2024-11-22T18:11:43,iPhone客户端,42,28,0,,,2024-11-22 18:11:43,True
5102449670494681	,P11J524GJ,翻相册看到了我初头ct，只想感慨太nb了，做轮廓真的值，头骨直接小了一大圈 我爱了真的 ,,"https://wx3.sinaimg.cn/large/008vHv1Vgy1hvrlbchle9j30yt16q16i.jpg,https://wx1.sinaimg.cn/large/008vHv1Vgy1hvrlb91s6jj315s1jparu.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002i9TOCgx08jI5HtD950f0f01009TL30k01.mov,,2024-11-19T15:44:23,iPhone客户端,11,13,0,,,2024-11-19 15:44:23,True
5102375211895961	,P0ZMZ7Xe1,👍码了,,,,,2024-11-19T10:48:31,iPhone客户端,3,0,1,,,2024-11-19 10:48:31,False,7831357768,整运好到爆,5047012466627310	,OjJ0yrO46,"人中缩短功课补充版后续还会整理整圈医生的介绍，关注我看医生介绍吧～
关键词：恢复过程、焦虑、富士山、医生介绍、鼻子
人中缩短#人中缩短##人中# 
接上一篇功课
网页链接
 ",,"https://wx1.sinaimg.cn/large/008xZzU4ly1hquqfdz0bjj30u01t2q9m.jpg,https://wx1.sinaimg.cn/large/008xZzU4ly1hquqfedyl6j30u01t2dn3.jpg,https://wx2.sinaimg.cn/large/008xZzU4ly1hquqfeuikhj30u01t20zn.jpg,https://wx1.sinaimg.cn/large/008xZzU4ly1hquqfdggc0j30u01t245k.jpg,https://wx1.sinaimg.cn/large/008xZzU4ly1hquqff8f2tj30u01t245v.jpg,https://wx3.sinaimg.cn/large/008xZzU4ly1hquqfi8qb5j30u01t2gps.jpg,https://wx4.sinaimg.cn/large/008xZzU4ly1hquqflgat3j30u01t2q7v.jpg,https://wx4.sinaimg.cn/large/008xZzU4ly1hquqfqb8g2j30u01t2n1b.jpg",,,2024-06-19T16:16:44,人中缩短超话,10,4,16,"人中缩短,人中",,2024-06-19 16:16:44
