id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106110323493468	,P2yXmeEOg,有些男的对自己的女人还没有我对猫好呢 ,,,,,2024-11-29T18:10:31,,12,0,0,,,2024-11-29 18:10:31,True
5105980461548400	,P2vzU6uOc,男人没有不图女人色相的，找个没色相的女人只是因为图不到而已，但是女人不图男人长相也不图男人钱太多了。看某书那些晒自己男朋友老公的，哪个长的不是跟猪头一样？然后大家说你男人长得像头猪，她们还出来维护说他其实人挺好的，结果点进主页发现10条有8条写的都是自己生活不幸福老公不给力。有些女生对男的真是啥都不图，就图这男的是个男的。当你发现身边一对情侣，男方的条件比女方明显的要高，女方却啥啥都没有，要学历没学历，要长相没长相，要身材没身材，要家世没家世，要性格没性格。那其实答案已经昭然若揭了。不是要她的命就是要她不为人知的钱和资源。,,,,,2024-11-29T09:34:29,,61,5,4,,,2024-11-29 09:34:29,True
5105812318193967	,P2rcHynCL,在男人眼里美女要么属于他、要么属于别的男人，美女拒绝他就是为了别的男人。美女跟男朋友睡了就说是烂裤裆，不跟男朋友睡就说你怎么知道是不是别的男人都能睡唯独不让你睡？一边说现在女大学生破处率多么高找一张白纸只能从幼儿园找，一边又说自己女朋友不让碰是看不上自己故作姿态。人的本性是不会变的，长期掌握话语权的人是意识不到自己的自大自负的。,,,,,2024-11-28T22:26:21,,58,0,4,,,2024-11-28 22:26:21,True
5105785143296090	,P2quSdPsK,世界从来没有巧合，只有一个又一个因种下的果。 ,,,,,2024-11-28T20:38:21,,46,0,2,,,2024-11-28 20:38:21,True
5105372009860791	,P2fKwFnf1,真正爱她的人从来不需要证明什么，声称爱她的人致力于证明别人都在恨她。 ,,,,,2024-11-27T17:16:43,,38,0,6,,,2024-11-27 17:16:43,True
5105337520099369	,P2eQU0pQJ,"满脑子想着给男人花钱的咱俩不是一类人
在我这里看你们喜欢的男人只是长得帅，什么也不懂，而你混了很多年社会，又赚到钱了，对于这个男人来讲，他太赚了，他可以享受你的物质、享受你的身体。在我看来给男人花钱的女人就是被男人吃，把仅有的养老的资本给男人吃了。其实这是一个非常划不来的交易，有些女生就会说小男人养着高兴就行，问题是这么干的女人十个有八个喜欢到处问别人他这么说是什么意思？他到底喜不喜欢我？为什么他对我没有那么热情了？他到底什么意思？其实有些女生是物质条件好，但是想找个物质条件也好且不图她钱，还给她钱花的男人，真的很难。",,,,,2024-11-27T14:59:40,,58,5,4,,,2024-11-27 14:59:40,True
5105087939088511	,P28mlC8kT,不管恋爱还是婚姻，女孩子最重要的不是说有多爱你的男人，而是一定非常满意你的男人的。可惜大多数人往往是本末倒置:我对他不满意但我爱，那结果往往是人财两空。 ,,,,,2024-11-26T22:27:55,,50,0,9,,,2024-11-26 22:27:55,True
5105067973937106	,P27Q9gwdI,今年玩微博开放咨询和上千个女孩聊过天，得出一点结论是:男人不会爱女人，而女人几乎会爱上所有跟她发生过关系的人，女孩也以为能用自己的肉体留住他们，而实际上，男人都只是爱女人的肉体，根本不爱女人。女孩真的太想要爱了，太想要一段感情了。但是想要一段感情就要把男人当成一个屁，不然只会吸引把她当成一个屁的男人。,,,,,2024-11-26T21:08:35,,145,14,22,,,2024-11-26 21:08:35,True
5105042898028967	,P27bHxGHt,"为了防止被冻感冒出行选择打车。
结果因为司机不洗澡太臭频频开窗通风被冻感冒了
 ",,,,,2024-11-26T19:28:56,,15,5,0,,,2024-11-26 19:28:56,True
5104931797468838	,P24ivvkZ8,身体永远是第一位的，你身体虚了，精神就差，精力不济注意力不集中就容易出差错，能量就低，别人看你就好欺负，乱七八糟的事情就来了。你身体好，能吃能喝能拉，精神状态好，能量就高，别人就不敢欺负你，你就能越来越好。 ,,,,,2024-11-26T12:07:28,,114,3,22,,,2024-11-26 12:07:28,True
