id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5102965488616477	,P1f92A9xr,"不知不觉也走过了𝟏整年的路，距离百年老店还有𝟗𝟗年
周年庆offer最好的机制回馈大家～",,,,,2024-11-21T01:54:03,无情的工作iPad Pro,11,8,0,,,2024-11-21 01:54:03,False,,,5102909916187782	,P1dHppXIW,"抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：
 
网页链接
 ",,,,,2024-11-20T22:13:14,,0,0,0,,,2024-11-20 22:13:14
5105796595582662	,P2qNlnqiW,笑鼠 微博这个自带的美颜关都关不掉 姐和负责人姐都不长这样！！谢谢在水的宝贝们,,,,,2024-11-28T21:23:52,iPhone 16 Plus,3,2,0,,,2024-11-28 21:23:52,False,1777864980,一只荔荔枝,5105788903751982	,P2qAWfK3Q,昨天看了直播，还很幸运滴中了奖～今天立刻去了在水，做了肉肉大提升和打了童颜水光，在水的一整套流程都很细致，黄主任操作的也很仔细，全程痛感其实还好，术后也敷了水晶膜照了光～也抽了奖。回去途中也看了直播，鱼真人确实就是精致中国芭比，负责人姐也是美丽气质女，助理姐的身材也令人羡慕～@在水医疗美容SKINWATER,,"https://wx4.sinaimg.cn/large/69f81114gy1hw28rsf355j20u01hbtiq.jpg,https://wx3.sinaimg.cn/large/69f81114gy1hw28rsw9gbj20u01hbqet.jpg,https://wx1.sinaimg.cn/large/69f81114gy1hw28rtpnbwj20yw24ok9f.jpg",,,2024-11-28T20:53:17,HUAWEI Pura 70,2,2,1,,在水医疗美容SKINWATER,2024-11-28 20:53:17
5105755223753241	,P2pICfKo9,"非常非常激动！！谢谢大家的支持！！
今晚直播间
网页链接
继续抽𝟏𝟎𝟎位姐妹平分💰𝟏𝟎𝟎𝟎𝟎在水充值金！
昨天在水周年庆的卡秒空！我都差点哭出来！
后面再加单也是秒空
晚上9点就下班了 开始瞎聊
今晚不卖货了～
直播间带大家逛逛在水！看看医生！也给大家直播看脸！答疑解惑！
没有来过在水姐妹也可以先来看看
觉得喜欢再上门
 
接下来我也会多多到院！服务大家！！
我们会做好交付的！
再次感谢！",,https://wx3.sinaimg.cn/large/007cWblcgy1hw24yj488hj30zu25ob29.jpg,,,2024-11-28T18:39:28,iPhone 16 Plus,58,24,13,,,2024-11-28 18:39:28,True
5105319103957461	,P2encgBw1,"‼️重大提醒：微博小店没有加购功能！
大家买卡只能单张付款，所以要买多张卡的姐妹我建议大家找朋友帮你下单！因为很有可能你在支付一张卡的时候另一张已经没了！尤其是热玛吉卡&多维超配卡&好皮疗程卡，很多很多姐妹在蹲……
（年前想要做热玛吉的姐妹，我建议你一定要蹲住这张卡！相当于你买个热玛吉900发，然后+6199就得到了2️⃣支弗曼+1️⃣支乔雅登极致！并且还报销500元车费！还可以积分兑换院内的护肤品或者500元优惠券什么的！非常非常划算！老客都知道在水的项目是不破价的，一年以来线上线下都是日常价，只有周年庆会玩这么大！
有意向的姐妹先拍，拍下再慢慢考虑，不想要了随时可以退；也可以来面诊，面诊了再决定要不要核销～未核销是全额退款的！
但是不蹲的话这张卡绝对是抢不到的
今晚6:30直播见！！我们的卡都在7:00统一开售，在开售前我会在直播间说清楚注意事项
祝大家购物愉快～
【11.27~11.28在水周年庆】—热玛吉卡
【11.27~11.28在水周年庆】—多维超配卡
【11.27~11.28在水周年庆】—好皮疗程卡",,"https://wx3.sinaimg.cn/large/007cWblcgy1hw0qw9hupuj30u06aihdt.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hw0qwsxt2kj30j61wzqd0.jpg,https://wx3.sinaimg.cn/large/007cWblcgy1hw0qwtazisj30u02k37c1.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hw0qwrmm88j30j615hgou.jpg,https://wx2.sinaimg.cn/large/007cWblcgy1hw0qwu7f59j30n01dswhz.jpg,https://wx1.sinaimg.cn/large/007cWblcgy1hw0qwug47kj30j615kq7w.jpg",,,2024-11-27T13:46:29,iPhone 16 Plus,36,20,3,,,2024-11-27 13:46:29,True
5105286553539272	,P2dwHeQJ2,回复@Fany系香梨:这就是独处啊哈哈哈哈！不会因为「在一起久了有点太过亲密如所以想要独处的时间」，而是因为「每一个独立的人天然都需要自我相处来消化压力和保持进步」//@Fany系香梨:可是在一起久了不会想要自由的独处时间？,,,,,2024-11-27T11:37:09,iPhone 16 Plus,6,2,1,,"Fany系香梨,Fany系香梨",2024-11-27 11:37:09,False,6604112478,大概是武陵人吧,5105174866297005	,P2aCyqq8B,"我老公出差了
我在车库呆了两个小时才回家
我老公说在我出差的时候
他也要找朋友呆到很晚才肯回家
人在一起久了 真的有巨大惯性… ",,,,,2024-11-27T04:13:20,iPhone 16 Plus,112,20,6,,,2024-11-27 04:13:20
5105174866297005	,P2aCyqq8B,"我老公出差了
我在车库呆了两个小时才回家
我老公说在我出差的时候
他也要找朋友呆到很晚才肯回家
人在一起久了 真的有巨大惯性… ",,,,,2024-11-27T04:13:20,iPhone 16 Plus,112,20,6,,,2024-11-27 04:13:20,True
5104957675539359	,P24Yfnf2v,"我6月打的🥩毒，最巅峰的状态保持了3个月左右，10月开始慢慢失效，10月底的时候就觉得脖子特别特别紧张，仰头的时候下巴脖子那个皮扯得我难受死了（这种特征 打颈阔肌放松就会非常非常非常有用 你花5000块钱打🥩毒比别人花50000块钱填充下颌线还要有效）
但是我忍，忍到上星期才去打（不要太频繁，5-6个月一次就行）
现在打完一周了，我的下颌线又恢复到精美水平
真的，🥩毒怎么那么好，怎么那么那么那么好，我宣布🥩毒才是我的阿贝贝！
之前写过的🥩毒功课：
大提拉：
网页链接
  
网页链接
控油改善泛红：
网页链接
  
网页链接
要一次性打完：
网页链接
哪些地方可以打：
网页链接",,"https://wx4.sinaimg.cn/large/007cWblcgy1hvzle0pjjpj32122pg4qp.jpg,https://wx1.sinaimg.cn/large/007cWblcgy1hvzldzrs69j32c0340hdt.jpg",,,2024-11-26T13:50:18,iPhone 16 Plus,50,21,4,,,2024-11-26 13:50:18,True
5104750305218452	,P1ZzMlTyA,"对我来说，使皮肤紧致发亮——最好的不是轮廓固定、不是热玛吉，而是🥩毒大提拉！
皮肉展开、微微拉紧，是妈妈给你扎马尾那种上扬的功效；绝对是抗衰紧致的性价比之王
【皮肤管理】&【提升紧致】通吃！！
有很多来在水打轮廓固定的姐妹，我都一定主张大提拉一起打；
或者没有预算打提升的宝，直接上大提拉也有非常惊艳的收益！
🥩毒是市面上的硬通货，价格是不可能低的，但是没有上限；
大家可以横向对比一下市场价，150u/💰5640的价格超级香，可以说是质价比之王，好评无数～
🥩毒又是一个很吃医生技术和胆大心细的活儿，可以为不同的脸蛋定制很多不同的打法。在水的医生不是流水线操作，而是根据每个人的需求去完成～我这一套下来刚好是150u 一张大提拉卡刚好完成！
（要打咬肌的话需要再+50u）
⏰11.27周年庆有这张卡，我推荐大家找黄主任！这一年都是他给我打的，审美的口味还是蛮对口的，他自己也非常在乎避免压眉，追求表情自然、避免颊凹等等～
💡不算不知道，在水开业不到一年已经打了有1300多瓶botox了；
几乎都是大提拉套餐，经验非常充足，70%都是黄主任出品。大家记得提前预约位置，敲@在水医疗美容SKINWATER 
大提拉卡：
【11.27~11.28在水周年庆】—在水大提拉卡",,"https://wx3.sinaimg.cn/large/007cWblcgy1hvyxkf79gkj30xc4xiu0x.jpg,https://wx2.sinaimg.cn/large/007cWblcgy1hvyxnmri9bj30xc3p6e81.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hvyxkp0l3zj335s2dchd6.jpg,https://wx2.sinaimg.cn/large/007cWblcgy1hvyxao5yopj30xc4kq7sn.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hvyxkqecegj31cy1t9dyj.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hvyxkps7k9j31d61tk7ma.jpg",,,2024-11-26T00:06:17,iPhone 16 Plus,105,49,25,,在水医疗美容SKINWATER,2024-11-26 00:06:17,True
5104720475586633	,P1YNFnrkZ,来了解一下在水的黄金微针～好皮疗程卡这次是核销送【炮头不限发数】以及积分送【BTL射频】，光赠品价格都4000+，整张卡是5️⃣折的程度，就是能把皮肤和紧致都做得很完美！！只有20张，一定要蹲！周三晚18:30,,,,,2024-11-25T22:07:44,无情的工作iPad Pro,5,5,0,,,2024-11-25 22:07:44,False,5907260560,没想到是条化妆的鱼,5104699147294054	,P1YfguBw2,"【1年仅破价1次的黄金微针】 
✨好皮疗程卡 仅有20张！！
【11.27~11.28在水周年庆】—好皮疗程卡
包圆你一年的皮肤治疗&抗衰紧致！@在水医疗美容SKINWATER 周年庆限定
⏰一定要调闹钟！18:30准时来直播间！过村没店！
黄金微针｜📍市场价1折！
里头塞了足足有7⃣个流程
-术前弱酸清洁/舒敏
-表麻、止痛药疼痛管理+冷风机镇痛
-黄微面+颈+眼
-术后刷酸/美白药剂导入
-水晶膜褪红
-照光消炎促愈合
-7天内返院照光/针清/舒敏
连术后护理包都给你安排妥妥的！里面的每一项，都是为了提升效果、舒适度、缩短恢复期而加的，这些另买要额外加2k，在水直接包了！！
*核销反馈再送2项抗衰光电！包揽复杂问题的解决~
没尝过在水黄微的姐妹，这条视频给你唠得明明白白👇🏻
-红敏&痘痘&毛孔&松泡的问题要怎么解决?
-在水的“疼痛管理”如何落实到每一步？
-在水黄微的打法如何实现双倍效果？
-严格执行术后护理=缩短恢复期！
👨🏻⚕这次的打版医生是在水的黄斌主任，他平时很爱专研皮肤问题要怎么治疗，自己的皮肤也保养的嫩白且吹弹可破~他还很擅长通过光电+注射联合做【全层抗衰】。此外他还是👇🏻
-医学硕士毕业！
-公立背景出身的皮肤科医生！
-拿了全头部光电和注射品牌的官方认证！
来在水打黄微可以随意指定你想要的医生➡傅院or黄主任！详见👇🏻
网页链接
11.27⏰18.30@没想到是条化妆的鱼 小鱼亲自带你薅羊毛~ #年度变美好物##上微博学变美# 
网页链接
 
【11.27~11.28在水周
 
网页链接
 
【11.27~11.28在水周
 
没想到是条化妆的鱼的微博视频",,,"https://f.video.weibocdn.com/u0/WZQhr3T5gx08jRZBoJQk01041201dImo0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732880433&ssig=wtRc%2FCe06O&KID=unistore,video",,2024-11-25T20:43:00,微博视频号,2482,504,2062,"年度变美好物,上微博学变美","在水医疗美容SKINWATER,没想到是条化妆的鱼",2024-11-25 20:43:00
