id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105745580526697	,P2pt42d17,"这些机构是不是活不起了就会骗无知的刚进圈的女孩子，真给我看笑了 图二是他给别的小姐姐的解释 图三是我说的
嘴一张一闭就骗人良心痛不痛 ",,"https://wx1.sinaimg.cn/large/008souFkly1hw23uwsf67j30r217ewji.jpg,https://wx2.sinaimg.cn/large/008souFkly1hw23ux1dcwj30ur13m78f.jpg,https://wx1.sinaimg.cn/large/008souFkly1hw23uxbc3sj30r20r8acr.jpg",,,2024-11-28T18:01:09,,0,0,0,,,2024-11-28 18:01:09,True
5105405468874808	,P2gCuBeK4,"准备打针 刷水杨酸+手打丽珠兰黑+英诺滚针+给手打个润至的水光
 ",,https://wx4.sinaimg.cn/large/008souFkly1hw10rzzqk7j31r0340b2b.jpg,,,2024-11-27T19:29:40,,2,3,0,,,2024-11-27 19:29:40,True
5105172600849094	,P2ayU3yT4,怎么有人还能吹打水光会馒化啊 我从18年开始 每个月都去机构打从来不缺席 一点问题都没有 馒化了你是不是自己买药打到假药了 ,,,,,2024-11-27T04:04:20,,1,3,0,,,2024-11-27 04:04:20,True
5105145836995438	,P29RJtlPE,回复@2024要努力呀yy:Tirzepatide，礼来公司的//@2024要努力呀yy:回复@超级无聊有限公司:这是日本的吗？我们这查得严估计不给我买,,,,,2024-11-27T02:17:59,,0,0,0,,"2024要努力呀yy,2024要努力呀yy,超级无聊有限公司",2024-11-27 02:17:59,False,7748637818,超级无聊有限公司,5105140874610055	,P29JJjlhJ,又是打替西的日子 ,,https://wx4.sinaimg.cn/large/008souFkly1hw06ftiuxyj30k00zkjul.jpg,,,2024-11-27T01:58:16,,0,8,1,,,2024-11-27 01:58:16
5105141587378346	,P29KSuXrA,回复@别再看我啦rrr:我和你说我做过的 他们说的掉下来 其实只是比刚做完掉下来 都会有一点反弹的 那个叫回落 但是肯定比没有做更好的 看你的严重程度和你的在意程度 还有就是拉皮一定一定要找一个细心有耐心的医生做 这个太考验缝合了,,,,,2024-11-27T02:01:05,,0,0,0,,别再看我啦rrr,2024-11-27 02:01:05,False,7748637818,超级无聊有限公司,5104757288732444	,P1ZL2ADHS,"今天刷抖音的时候看到一个直播间 那个博主说 埋线是过时的项目 已经被淘汰了 啊哈哈哈哈哈哈?
我说一句心里话，我五年内虽然没有埋线过，但是能说出来这个话的人一定不怎么了解这个手术，看了一眼她的脸 一切说得通了 ",,,,,2024-11-26T00:34:02,,1,16,2,,,2024-11-26 00:34:02
5105140874610055	,P29JJjlhJ,又是打替西的日子 ,,https://wx4.sinaimg.cn/large/008souFkly1hw06ftiuxyj30k00zkjul.jpg,,,2024-11-27T01:58:16,,0,8,1,,,2024-11-27 01:58:16,True
5104985092133246	,P25Gt8WXc,我做的所有手术我都是当天洗澡 现在要是遇到医生给我说多少天不能碰水 我真好怀疑一下他是不是现代人了 我的妈啊 一天不洗澡我受不了 ,,,,,2024-11-26T15:39:15,,0,0,0,,,2024-11-26 15:39:15,True
5104981269285857	,P25AiCXFT,回复@别再看我啦rrr:没有啥项目是能一步到位的 我觉得要看你下垂的程度 不严重的就打打光电 如果年纪小 其实不太建议做拉皮 因为皮肤再去皮的同时 多多少少会变薄的//@别再看我啦rrr:那轮廓后的垂是埋线好一点呢 还是直接做个小拉或者大拉一步到位呢,,,,,2024-11-26T15:24:03,,0,0,0,,"别再看我啦rrr,别再看我啦rrr",2024-11-26 15:24:03,False,7748637818,超级无聊有限公司,5104757288732444	,P1ZL2ADHS,"今天刷抖音的时候看到一个直播间 那个博主说 埋线是过时的项目 已经被淘汰了 啊哈哈哈哈哈哈?
我说一句心里话，我五年内虽然没有埋线过，但是能说出来这个话的人一定不怎么了解这个手术，看了一眼她的脸 一切说得通了 ",,,,,2024-11-26T00:34:02,,1,16,2,,,2024-11-26 00:34:02
5104807201472909	,P213y6baB,我就是那个植发圣体 脑门大+后枕部头发居多 ,,,,,2024-11-26T03:52:22,,0,0,0,,,2024-11-26 03:52:22,True
5104757288732444	,P1ZL2ADHS,"今天刷抖音的时候看到一个直播间 那个博主说 埋线是过时的项目 已经被淘汰了 啊哈哈哈哈哈哈?
我说一句心里话，我五年内虽然没有埋线过，但是能说出来这个话的人一定不怎么了解这个手术，看了一眼她的脸 一切说得通了 ",,,,,2024-11-26T00:34:02,,1,16,2,,,2024-11-26 00:34:02,True
5104756357333396	,P1ZJxuLKA,生活太有趣了 可别都用来琢磨怎么整容了 ,,,,,2024-11-26T00:30:20,,0,0,0,,,2024-11-26 00:30:20,True
5104674520957446	,P1XBy414G,"长篇大论的功课 我真的没耐心看 很感谢很多博主的 无私奉献
但是是怎么能写这么多字的啊?我的个老天爷啊 ",,,,,2024-11-25T19:05:09,,0,2,0,,,2024-11-25 19:05:09,True
5104056733533713	,P1Hx7ePhn,我问了医生 说wym没效果是因为量不够大 我之前都是一次三瓶 我的妈呀 我打了半年每个月打 完事给我说可能量不够,,,,,2024-11-24T02:10:17,,2,3,0,,,2024-11-24 02:10:17,False,6234799608,一元Q太,5103990077393831	,P1FNBv1tl,"问了好几个医生，我都被整懵了。
有说弗缦打水光很好的可以坚持打，有说打wym更好的，也有的让我直接打艾维岚，还有的跟我讲反正胶原蛋白是替你本身的胶原流失的，可以打打便宜的做预防性抗衰。
实在拿不准，准备一个个试过去了。 ",,,,,2024-11-23T21:45:24,,3,10,1,,,2024-11-23 21:45:24
5104054999712447	,P1HujEKEn,植发两次了 我是粗硬发 我总感觉我脑门子上好像都是y毛一样曲里拐弯的,,,,,2024-11-24T02:03:23,,0,0,0,,,2024-11-24 02:03:23,False,7937589312,医托医骗开团卖假光电的变我头像,5103981220861123	,P1Fzk3C15,"植发 为什么这么多人不知道 植发并不能增加发量 只是把你那为数不多的毛囊挪来挪去 挪的过程中还会死掉一批  另外 绒毛剃了 就没有了 别信什么剃了涂米诺还能长出来 ，存活率百分之90纯属扯蛋 远期能留住百分之50就不错了 很多人植发在3到4年脱落的和植发前一样 
为啥植发医生敢保证你一年存活率呢 因为后面的和她没关系，另外植发 假不假 和医生的关系不太大 你头发硬做出来就是假 你头发软给你种出来的也不一定会软，本身没有绒毛的你怎么植 植发出来就是假发套，
 天生没有绒毛 还要把绒毛剃了的去植发的 植出来就是假发套 ，另外博主们狂推的几个医生，想看清楚真的植发效果，去她们的别的功课里找效果，那个才真实的。一个个都假的要死，和做了额头提升一样那个疤，就这样还植发代言人呢？我不植发 我找了这么多医生 问了这么多人 只有一个已经退出整圈的医生和我说了绒毛的事儿 ，图片是我自己的绒毛 就这样呢 当时好几个医生都说会长出来的 长个鸡毛 只要植发好几年的 就知道我说的是不是真的呢",,https://wx3.sinaimg.cn/large/008FbjA4gy1hvwh2zsmx3j31pm16iazn.jpg,,,2024-11-23T21:10:13,iPhone 14 Pro Max,107,30,10,,,2024-11-23 21:10:13
