id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106054050353128	,P2xuB1tRC,转发微博,,,,,2024-11-29T14:26:54,iPhone 16 Pro Max,2,1,0,,,2024-11-29 14:26:54,False,5785050927,庸医做毁鼻子,5105813603486938	,P2reMeD6W,刘波做完十个半月了，鼻子畸形，疤痕严重，形态怪异，不负责，逃避责任！@用户7734286843 @吃不饱会die @ArtemisMisae @修仙公主2024 @踩死绿茶 @好运常伴yl @Yunaaimomo @gogoooal @好运小司 @小李肥刀刀 @变美大队长 @IamVivienne123456 @家有小小锤 @KimberlyBabeBAE @用户6537673609 @玉碎塔拉 ,,"https://wx4.sinaimg.cn/large/006jvu11ly1hw2bm252j9j30u016lafz.jpg,https://wx3.sinaimg.cn/large/006jvu11ly1hw2bm2ohaqj30vs0u0aff.jpg,https://wx2.sinaimg.cn/large/006jvu11ly1hw2bm3gh2cj30u0140gsd.jpg,https://wx3.sinaimg.cn/large/006jvu11ly1hw2bm1gatqj30u0140dm8.jpg",,,2024-11-28T22:31:27,iPhone 13 Pro,9,7,14,,"用户7734286843,吃不饱会die,ArtemisMisae,修仙公主2024,踩死绿茶,好运常伴yl,Yunaaimomo,gogoooal,好运小司,小李肥刀刀,变美大队长,IamVivienne123456,家有小小锤,KimberlyBabeBAE,用户6537673609,玉碎塔拉",2024-11-28 22:31:27
5105892964696360	,P2tiMjHJK,"谁懂我 在ljf那里做完呼吸不过来 这次在ly这里好像有一点点 记不清了 但是ljf那里记得特别清楚
还好他们一直帮我缓解 要是在ljq那里估计就倒霉了",,,,,2024-11-29T03:46:48,iPhone 16 Pro Max,1,0,0,,,2024-11-29 03:46:48,False,7532387634,轮廓博主,5105889680031999	,P2tdu08k7,"磨骨术后呼吸困难，如果在看护室出问题真的听天命了，进普通病房后呼吸困难 及时带呼吸器，可以缓解，严重及时120，一般喊难受，医院以为你难受而已胡闹，压根不会管，…压根不理人 以为难受……大手术最好带个朋友，或者亲人陪同，只是说以防万一，任何手术都是呼吸困难真的很容易over，不舒服不要提前出院，医院赶出院也别出。整形医院一般不会管死活的，巴不得你早点出院，就跟他们没关系了
还有手术不要一次性做太多项目，真的对身体伤害很大。 安全第一！！！",,,,,2024-11-29T03:33:45,iPhone客户端,3,0,1,,,2024-11-29 03:33:45
5105748021871168	,P2px07QM8,"骂的人太多了以至于翻自己微博半年前骂过的人我自己都忘记是谁了 就记得是一个整圈的博主
 ",,,,,2024-11-28T18:10:51,iPhone 16 Pro Max,1,1,0,,,2024-11-28 18:10:51,True
5105672067484857	,P2nyuvp9v,好像确诊额头后倾了。。。 ,,,,,2024-11-28T13:09:02,iPhone 16 Pro Max,0,2,0,,,2024-11-28 13:09:02,True
5105371289485989	,P2fJmDNJP,我好想做眉弓 ,,"https://wx1.sinaimg.cn/large/008zEWO4gy1hw0wvi5uhfj319v19v4af.jpg,https://wx2.sinaimg.cn/large/008zEWO4gy1hw0wwgnlafj33402c01ky.jpg",,,2024-11-27T17:13:51,iPhone 16 Pro Max,5,17,0,,,2024-11-27 17:13:51,True
5105095691735233	,P28yR7hpD,但是我问了一下我要做超声炮的那家机构，她说很快就会有新的适应症批下来诶（不保真）,,,,,2024-11-26T22:58:43,iPhone 16 Pro Max,1,3,0,,,2024-11-26 22:58:43,False,7063636894,谈美功课小号,5104550048439674	,P1UmMzpxM,"半岛超声炮被重新查了，修正适应症了。
因为它拿到的审批就是治疗肩颈以及身体肌肉组织损伤疼痛还有妇科恢复治疗，和抗衰没有一点关系。
现在应该没有人敢卖了，不然要被大罚钱。
后面想做真正抗衰，还是得超声刀了。 ",,,,,2024-11-25T10:50:32,互联网杀猪iPhone客户端,206,100,47,,,2024-11-25 10:50:32
5105073603216981	,P27ZeduSN,转发微博,,,,,2024-11-26T21:30:57,iPhone 16 Pro Max,2,0,0,,,2024-11-26 21:30:57,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,67,9,50,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51
5104729644073679	,P1Z2sh5Kv,容貌焦虑了 为什么怎么整拍照都要挑角度 为什么不能原相机直出 为什么是个鹅蛋脸 为什么脸上不立体 为什么哪儿哪儿都不顺眼 ,,,,,2024-11-25T22:44:11,iPhone 16 Pro Max,3,0,0,,,2024-11-25 22:44:11,True
5103682443542994	,P1xNqeRH4,有人了解这个医生吗 ,,https://wx1.sinaimg.cn/large/008zEWO4gy1hvvixzfhdrj310o27ox6p.jpg,,,2024-11-23T01:22:59,iPhone 16 Pro Max,0,9,0,,,2024-11-23 01:22:59,True
5103680231571883	,P1xJR6AUX,老公今晚见！,,,,,2024-11-23T01:14:11,iPhone 16 Pro Max,0,0,0,,,2024-11-23 01:14:11,False,1537790411,M鹿M,5103677582610437	,P1xFAaX5P,佛山今晚见🤘🤘🤘 ,,"https://wx4.sinaimg.cn/large/001G4px9gy1hvvids26c8j66bk47sx6q02.jpg,https://wx1.sinaimg.cn/large/001G4px9gy1hvvidmz0d8j666w44ou0z02.jpg,https://wx1.sinaimg.cn/large/001G4px9gy1hvvidwxv55j66bk47sb2j02.jpg",,,2024-11-23T01:03:40,,194571,26858,63416,,,2024-11-23 01:03:40
5103301345150004	,P1nSKlBKA,下巴模版 ,,"https://wx1.sinaimg.cn/large/008zEWO4gy1hvub65ru35j30zm1biwo3.jpg,https://wx3.sinaimg.cn/large/008zEWO4gy1hvub663x8sj30zk25243q.jpg,https://wx1.sinaimg.cn/large/008zEWO4gy1hvub66hhrvj30zk252gtc.jpg,https://wx4.sinaimg.cn/large/008zEWO4gy1hvub68wmh2j30yi1a4101.jpg,https://wx3.sinaimg.cn/large/008zEWO4gy1hvub69bo6qj30u0160k58.jpg,https://wx2.sinaimg.cn/large/008zEWO4gy1hvyvfdnaz8j31jk223kjl.jpg,https://wx4.sinaimg.cn/large/008zEWO4gy1hvyvfczxd4j31jk223kjl.jpg,https://wx3.sinaimg.cn/large/008zEWO4gy1hw0wxtcxgaj30lc0sgtbl.jpg,https://wx2.sinaimg.cn/large/008zEWO4gy1hw0wz9vcvij30gi0u2jtm.jpg",,,2024-11-22T00:08:38,iPhone 16 Pro Max,5,0,2,,,2024-11-22 00:08:38,True
5103300805136721	,P1nRSlyil,争取找lfc做奶的时候 一战成C ,,,,,2024-11-22T00:06:29,iPhone 16 Pro Max,1,9,0,,,2024-11-22 00:06:29,True
