id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105796333441463	,P2qMVerht,它还会脱皮'就会粉一点，我真觉得它有效果…,,,,,2024-11-28T21:22:49,高效变美的iPhone客户端,0,0,0,,,2024-11-28 21:22:49,False,6454943748,岗妹就是我,5104317977332913	,P1OktuLCN,"刚收到的就用了，应该是目前市面上最专业的私㊙️美白的套盒了。
有私密酸，这个和面部的酸真不一样，比较温和，碰到黏膜的地方也不会很蛰，中和，涂脱色剂，涂了要等两个小时。
之后敷水凝胶，T膜。
这个系列完整的下来还有个私㊙️脱色霜可以日常用，搭配比较科学。
三个月做一次就好了，也可能只需要做1次就可以了，大概效果就P2(不是我的谢谢这是案例图)。
(只刷外Y估计可以刷两次，6个月，大腿根，G周，外Y，都可以用，都刷够1次的)
Msdk除了缩脂，紧致，它产线有太多了，动能素系列也非常好用
专业复合酸，专业的护肤线也很喜欢。",,"https://wx2.sinaimg.cn/large/0072QhJWgy1hvxjt2kqktj33b04eo7wk.jpg,https://wx4.sinaimg.cn/large/0072QhJWgy1hvxjt4w8e9j30uj2xdtou.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001GG4KEgx08jQjABo990f0f0100kuN50k01.mov,,2024-11-24T19:28:22,高效变美的iPhone客户端,10,10,1,,,2024-11-24 19:28:22
5105732341204405	,P2p7I53jT,这些人都挺精神分裂的，老觉得别人也有👻/仙也要出马。 ,,https://wx1.sinaimg.cn/large/0072QhJWgy1hw22cby5q3j30zu25ohan.jpg,,,2024-11-28T17:08:33,高效变美的iPhone客户端,1,1,0,,,2024-11-28 17:08:33,True
5105731426848208	,P2p6esJwY,"我这个人做事就喜欢讲清楚，说明白再决定做不做。
我们団里的咨询几乎都是我自己在跟，越来越觉得线上讲很多都是浪费口舌，和很多焦虑担心是没必要的 
线下5分钟搞定的讲明白的问题，线上有些人要问10个月，期间不停内耗。
所以现在线上不看脸了，我说效果挺出彩的就说明基础挺好的，应该出来的效果很不错。
只需要告诉我要改善到啥程度啥诉求。预算就可以了，剩下的不用管了。能改善到我们就会接，改善不了的要求很高的很离谱的现场也会劝退。 
而且西安和杭州这两个线下的👨⚕️都属于相对保守的，不会一次给你治疗100％，我们会留10-20％的空间观察调整。",,"https://wx4.sinaimg.cn/large/0072QhJWgy1hw223gc8edj30v00r3td1.jpg,https://wx2.sinaimg.cn/large/0072QhJWgy1hw223s7ebuj30v90yethd.jpg",,,2024-11-28T17:04:55,高效变美的iPhone客户端,0,0,0,,,2024-11-28 17:04:55,True
5105724023638516	,P2oUifgxK,"怎么做个聪明的消费者在变美选择上。
就是，不要太跟风，不要太追新，不要太挑设备，这些都不是重点。
重点是
那点钱怎么做项目对自己加分改善最大，不要本末倒置。这才是重点。 ",,,,,2024-11-28T16:35:30,高效变美的iPhone客户端,3,0,0,,,2024-11-28 16:35:30,True
5105723622558368	,P2oTEaJy0,"超声的一点科普
超声是能量发射形式，简单理解就是作用深的光电，对Sams加热刺激的。
Xx超声或超声xx，就代表是xx厂家下面的超声
超声王/炮/刀，曲缇/白钻/铂金超声 
半岛是生产超声炮的，超声炮升级就成了不同名字。
经典，一代
黄金，二代
白钻，三代 
超声刀，国外用的比较多的，有美版，欧版，韩版，一般大家说的超声刀是美版的。
剩下这些，是别的超声厂家生产的。
🔘哪个最好？
很难回答哪个最好，他们每个都说自己接近美刀。但从设备角度而言，个人认为，大差不差，看自己💰
不是打了超声就能提拉到想要的程度，抗衰是很系统的，光电能解决的真的太太太有限了。… 
随便挑一个一年打一次就够了。#岗岗科普的医美小知识# 
‼️怎么选？
看👨⚕️，对面部抗衰方案的设计，单从操作角度，设备正品，👨⚕️从业3/5年以上，几乎都大差不差。",,,,,2024-11-28T16:33:54,高效变美的iPhone客户端,0,0,0,岗岗科普的医美小知识,,2024-11-28 16:33:54,True
5105644067881681	,P2mPkx4nT,"真的很爱我搞玄学的朋友们。
他们最常说的一句话是，急啥，没到时候。
这段时间就是没有，就不好受，或xxx月后合作才来财。
就结局是注定的，只是无数种路。 
所以我最近自己就开始学 8字了好有意思。 
我焦虑的时候就找他们发疯。 ",,,,,2024-11-28T11:17:47,高效变美的iPhone客户端,19,4,0,,,2024-11-28 11:17:47,True
5105636628762969	,P2mDkALEd,"精细化肤质的维护，没有任何一家的机构任何一个団的像我这次设计的这么详细。只有杭州🈶，特色卡也不是流水的，只有机构有承接能力才会有。
一次顶四次了，我们细致到啥程度。
1️⃣全脸日常养护-路创丽精准光，精准光面部4大块用的手具/能量都不同。
2️⃣3大块精致部位都分区加强 
▪️鼻头。草莓鼻
▪️T区的额头➕口周，出油闭口，海菲秀 
▪️眼周，路创丽调Q激光，专门针对眼周暗沉，上眼皮也会扫，去黄气。
🔘这一张1k的入门卡，大几十w的设备都用到三台，路创丽光子，路创丽调Q，路创丽点阵，都是进口设备➕海菲秀。
海菲秀每个人哦，是一个新的专用头。 
也很感谢玥颜很配合愿意接，很费护士和👨⚕️，每个细节都扣的很细致。",,"https://wx2.sinaimg.cn/large/0072QhJWgy1hw1r72roi3j30v50n578u.jpg,https://wx3.sinaimg.cn/large/0072QhJWgy1hw1r86s718j30tj0ve7pb.jpg",,,2024-11-28T10:48:13,高效变美的iPhone客户端,4,2,0,,,2024-11-28 10:48:13,True
5105622469052344	,P2mguBYVy,"大家做变美计划，一定要有自己的规划，优先级侧重。 
分享一下给线下的朋友制定计划的顺序和大原则。
也是变美的大框架，变美不止于脸。
冷静克制，有逻辑的制定自己的项目，不是什么火就去做什么，没逻辑无由头一样，看到什么火就跟着去做。这样既花了钱也不会获得最大的效益。
怎么算理性的一个计划。
1️⃣整体哪个对自己加分最大？
化妆妆容，穿搭，形体，脸。
2️⃣脸的大Bug/最在意的点 
自己写出来，不要告诉我哪哪都是缺点，都是问题，客观认识自己的基础及上限，人会快乐很多，不要想当然去多给自己加不必要的焦虑。
3️⃣控制预算
变美对自己是纯消费还是能带来更大效益撬动更多的东西，这是大逻辑点第一判断标准。
🔘如果是纯消费的话，那所有的应当控制年收入30％比较合理，YM部分最多10-15％ 
🔘如果能带来更大效益那控制在50-60％，YM增加到30％。看带来的效益多少去调整。
4️⃣设定计划 
预算确定，再考虑对应的效果，不谈💰看一些最好的对自己来说没有多大的意义，这个最好的并不代表对自己是最好的。
🔘明显改善能变美迅速变美的加分项➕日常抗衰维护➕皮肤 
这是三大板块，去对应自己的问题选。
‼️不要过多做光电，也不要纯打Z，光电多了就容易光电馒化，硬邦邦又泡的。
🔘日常抗衰维护
热MJ首选紧致，剩下三次小光电(黄微/热拉提/4D)这一堆里面做三次OK了。
🔘皮肤日常维护
这板块真的太复杂了，现在没有一个比较偏日常的卡，能把很细节的东西包括进去，鼻头黑头，眼周晒斑，口周暗沉，但是我认为日常护理这些地方是忽略的。 
▪️日常精细化维护2次 全年 
口周➕眼周➕鼻头➕全脸 
▪️水光4-6次 
▪️毛孔 黄微2次左右 没有明显毛孔可以不做，更适合油皮。
▪️刷酸 5次左右 #岗岗科普的医美小知识# 
这就足够了。",,,,,2024-11-28T09:51:57,高效变美的iPhone客户端,16,5,4,岗岗科普的医美小知识,,2024-11-28 09:51:57,True
