id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105472151753094	,P2im37m3I,"咳咳 
大伙们一起选的小礼物#本年度最后一次活动##首次活动# ",,,,,2024-11-27T23:54:39,微博网页版,0,0,0,"本年度最后一次活动,首次活动",,2024-11-27 23:54:39,True
5105109216006478	,P28UFpcyG,"#王宇欣注射案例#💉她的症状：
宝的泪沟非常严重，导致现在眼袋也明显了
我们用胶原蛋白进行泪沟进行填充、解决眼袋问题
泪沟填平后，眼袋也消失了#泪沟##眼袋# ",,"https://wx1.sinaimg.cn/large/008tJgoDgy1hw02rjv7adj314009jmz0.jpg,https://wx4.sinaimg.cn/large/008tJgoDgy1hw02rlb759j314009vdhv.jpg",,,2024-11-26T23:52:28,微博网页版,0,0,0,"王宇欣注射案例,泪沟,眼袋",,2024-11-26 23:52:28,True
5104633743673377	,P1WxMfpC1,,,,,,2024-11-25T16:23:06,会员特权专用,0,2,0,,,2024-11-25 16:23:06,True
5104632559568693	,P1WvRE9fL,第一次做活动，不太会选品尽量全覆盖#本年度最后一次活动# ,,,,,2024-11-25T16:18:24,微博网页版,0,0,0,本年度最后一次活动,,2024-11-25 16:18:24,True
5104386609254488	,P1Q7aCPvW,"今天说点
关于唇部的衰老和抗衰
还有唇部自然衔接流畅度和一些do唇思路#王医生的小思路# ",,https://wx4.sinaimg.cn/large/008tJgoDgy1hvxrqw58vyj30qy4eottj.jpg,,,2024-11-25T00:01:05,微博网页版,1,0,0,王医生的小思路,,2024-11-25 00:01:05,True
5104024043138336	,P1GGodaqk,"💉她的症状：
宝的泪沟和轻微的黑眼圈
我们用胶原蛋白进行泪沟进行填充、淡化黑眼圈
泪沟填平后，淡化了黑眼圈#泪沟##黑眼圈# ",,"https://wx2.sinaimg.cn/large/008tJgoDgy1hvwm5q3gacj314008040h.jpg,https://wx3.sinaimg.cn/large/008tJgoDgy1hvwm5rc3afj3140089406.jpg",,,2024-11-24T00:00:23,微博网页版,2,3,0,"泪沟,黑眼圈",,2024-11-24 00:00:23,True
5103664093468274	,P1xjPeyfU,"#王宇欣注射案例# 
她的症状：
宝是典型的薄唇，唇形较扁，饱满度不够，人中偏长、唇峰无形、显得人很冷淡
💉改善方案：
1.唇阜打外、唇峰顶起来，缩短人中、嘴角上扬
2.下唇两侧表现点加强，梯形塑造、下唇外翻增加饱满度
效果：
整体自然饱满，上唇微翘，缩短人中，下唇缘有了明显的形状，整个唇型变大、饱满了#丰唇#",,"https://wx2.sinaimg.cn/large/008tJgoDgy1hvvgsg0x1cj314009ewfz.jpg,https://wx3.sinaimg.cn/large/008tJgoDgy1hvvgsjxgarj3140096myq.jpg,https://wx3.sinaimg.cn/large/008tJgoDgy1hvvgsle91gj314009nabh.jpg,https://wx2.sinaimg.cn/large/008tJgoDgy1hvvgsicyeaj31400a8q4f.jpg",,,2024-11-23T00:10:04,微博网页版,0,0,0,"王宇欣注射案例,丰唇",,2024-11-23 00:10:04,True
5103299495462765	,P1nPLmV77,"#王宇欣注射案例#💉她的症状：
眼圈明显、眼周细纹显老
我们用胶原使眼周细纹淡化、黑眼圈淡化
周细纹淡化显年轻、黑眼圈淡化显精神#眼周细纹##黑眼圈# ",,https://wx4.sinaimg.cn/large/008tJgoDgy1hvuayadk2vj30j60eewlk.jpg,,,2024-11-22T00:01:17,微博网页版,0,0,0,"王宇欣注射案例,眼周细纹,黑眼圈",,2024-11-22 00:01:17,True
5102931235310184	,P1efNmhq8,"#王宇欣注射案例#💉她的症状：
眼圈明显、眼周细纹显老
我们使用胶原使眼周细纹淡化、黑眼圈淡化
周细纹淡化显年轻、黑眼圈淡化显精神#眼周细纹##黑眼圈# ",,https://wx4.sinaimg.cn/large/008tJgoDgy1hvt4nnoggnj30j60eewlb.jpg,,,2024-11-20T23:37:57,微博网页版,0,0,0,"王宇欣注射案例,眼周细纹,黑眼圈",,2024-11-20 23:37:57,True
5102575129201757	,P14ZqCBNr,,,,,,2024-11-20T00:02:55,微博网页版,4,0,0,,,2024-11-20 00:02:55,False,6168877685,沪上美零,5100226517664645	,P05Tlw9Vj,"上周找@上海注射医师王宇欣 打了4支丽多
顺便做了一个黑金光子所以脸即刻是有白的
图片没有调色 打了鼻基底和补了下颌角和衔接了一下下巴
打下颌角是真的真的好香 
特别特别适合我们这种早些年轮廓推的狠狠的人 骨感起来了以后真的会帅气 英气很多
好喜欢正面下颌角很明显的感觉
我应该会后面再补多一些看看效果 如果不错的话会考虑一下peek下颌角！！！",,"https://wx3.sinaimg.cn/large/006JtYTbgy1hvk175r3s4j31400u0tfr.jpg,https://wx1.sinaimg.cn/large/006JtYTbgy1hvk1767km6j31400u045w.jpg,https://wx2.sinaimg.cn/large/006JtYTbgy1hvk1779rnaj31400u0q9r.jpg",,,2024-11-13T12:30:22,iPhone 16 Pro,11,8,3,,上海注射医师王宇欣,2024-11-13 12:30:22
