id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105468831697766	,P2igH77Fk,额头提升,,,,,2024-11-27T23:41:27,iPhone 14,1,0,1,,,2024-11-27 23:41:27,False,5685241636,Lucky好运绵绵,5044527747042179	,OiGmWtxZx,"额头提升记录
🏥医院：be & young 就一个院长
⭐️头上五个切口（头顶三个，太阳穴两个）
手术后可以每天去照光，第三天给洗一次头发。（每次去都要来一杯免费冰咖啡哈哈
⭐️医院没有翻译，需要自己带。
⭐️效果就是非常自然。我主要诉求是觉得眉头压、眉心不清爽，着重处理了眉头的问题。另外关于皱眉肌切除，院长表示不会切那么多，会稍微处理一下。（意思就是能轻微改善）。面诊不会讲太多，非常快，基本不会主动说什么问题，一问一答的模式，所以要明确好自己在意的要点。
⭐️现在术后13天，额头还没有消肿，有点充气感，但是效果很满意。属于那种微妙的提了。照片同光源地点拍摄。",,"https://wx1.sinaimg.cn/large/006cKH3Kly1hqmszsftzej32yo3y8qv5.jpg,https://wx3.sinaimg.cn/large/006cKH3Kly1hqmszvtfb4j32c0340kjm.jpg,https://wx4.sinaimg.cn/large/006cKH3Kly1hqmt1x7y1jj30u0140n4x.jpg,https://wx1.sinaimg.cn/large/006cKH3Kly1hqmt4arb42j310k0u07f4.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000NjIQTgx08fB9F2unB0f0f0100sHG60k01.mov,,2024-06-12T19:43:20,iPhone客户端,30,19,9,,,2024-06-12 19:43:20
5104996626728860	,P25Z4seu0,"我靠 什么时候超细腰快点流行起来 这样我就不会焦虑了 我腰太细 导致我的脑袋看上去很大
我其实有点后悔抽这么细……原先的刚刚好
 ",,,,,2024-11-26T16:25:05,iPhone 14,0,1,0,,,2024-11-26 16:25:05,True
5104768567477065	,P203evn7P,"期待她未来的表现！！
第一次看到双商这么在线的格斗选手 感觉她打拳就像给病人扎针一样 快准狠 精准打击
粉了
好喜欢她 
变有钱了就改名的微博视频
 ",,,"https://f.video.weibocdn.com/o0/oci1opnVlx08jSiq0ybK01041201i2Pf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732806100&ssig=0p2w5dV5Vo&KID=unistore,video",,2024-11-26T01:18:51,微博视频号,2,0,0,,,2024-11-26 01:18:51,True
5104307801688893	,P1O4475md,"虽然我觉得这个世界上没有真爱 也不会有人真的爱我直到死亡
但是我确确实实遇到了一个很爱我的人 之前在泰国旅游 我和他过马路 他走在前面我在后面 对面有一辆大货车开过来，可能是他在我前面挡住了我，所以司机的视角以为只有他一个行人，我差一只手掌的距离就要被大货车碾压了….而且他已经走到我前面了，结果他下一秒就是后退然后抱住我挡在我前面（
我打字的时候都被感动到了） 他不是选择拉我，而是跑回来抱住我挡在前面….老天爷我这么冷血的家伙都被他感动的一塌糊涂了。
   不过….做了腿之后确实是丧失了遇到危险的敏感力，我当时明明想着是要做躲避动作，结果我的腿完全动不了
就是脑子已经发出危险信号，然后腿很沉重，跑不动…………（难怪他选择挡在我前面，可能他知道拉我也没啥用，我跑不动
）
   就他的所做 点点滴滴都会是他以后做了对不起我的事情的免死金牌
反正在爱的时候好好爱！就好啦",,https://wx2.sinaimg.cn/large/006Q9E9Lgy1hvxii7mcknj30wi1yc4qp.jpg,,,2024-11-24T18:47:56,iPhone 14,2,1,0,,,2024-11-24 18:47:56,True
5104295171330462	,P1NJH5A74,"虽然我在外面做牛做马 但是他和我在一起我马上就变成小皇帝 没事我就欺负欺负他 释放我真实本性 所以他离开我超过一周我就感觉浑身难受 有戒断反应….而且他每天晚上都会给我捏捏手捏捏脚 拍拍背睡觉
就像我妈一样 ",,,,,2024-11-24T17:57:45,iPhone 14,1,0,0,,,2024-11-24 17:57:45,True
5104291478765877	,P1NDJAMp7,"他们说拴住老公就要拴住他的胃…反过来也是同理
我真的完完全全被他拿捏住了
他七天不在家里 我天天水煮菜，点外卖也吃腻了 完全没有他做的千分之一好吃
（我想和他一辈子在一起就是因为我妈做菜超级难吃，所以我想老了以后他可以天天给我做好吃的 做一辈子
） ",,https://wx4.sinaimg.cn/large/006Q9E9Lgy1hvxgspqp87j30m91rdq6w.jpg,,,2024-11-24T17:43:03,iPhone 14,0,0,0,,,2024-11-24 17:43:03,True
5104284562362625	,P1NsA9UCR,"定了jq的下巴
价格适中 因为他给我做过面吸 真的是那种很温柔平和的医生 感觉他情绪很稳定….案例也有几个 都做得不错 而且审美很OK！他确实觉得我下巴长 而且有点宽（原生下巴）
  我还面了zc，
他说我的下巴一点都不长……这说明他喜欢长脸（但是我不喜欢）然后他觉得我应该吸一下颧骨颧弓，但我感觉容易垂..",,,,,2024-11-24T17:15:35,iPhone 14,2,1,0,,,2024-11-24 17:15:35,True
5104281486889775	,P1NnCsUlp,"我去做脸 经常有护士问我是不是冷白皮 我说真不是 我这个是黄一白
然后她们会说啊……那我这个算什么 是黄黑皮吗，我说你这个就是正常人的黄三白….
因为我和冷白皮的人站一起我瞬间变成小黄人了
所以我这个肯定是黄一白 ",,,,,2024-11-24T17:03:22,iPhone 14,2,5,0,,,2024-11-24 17:03:22,True
5104265255192882	,P1MXrlMUa,"吗呀太喜欢onda了 这是我做过即刻效果最好的！！
下次去韩国必需要狠狠的用7mm大头整个脸都做一下 狠狠的溶脂 ",,,,,2024-11-24T15:58:52,iPhone 14,1,2,0,,,2024-11-24 15:58:52,True
5103943279706326	,P1EA7EJ3E,"我奶和麦琳挺像的…不疼自己的小孩 然后非常喜欢骂我爷 可能我爷爷东西没有摆到原处，她就会骂他，而且年轻的时候她会打我爷爷，三小时骂一次，一两天打一顿，是真实发生的，然后我爷爷是老师，性格特别温柔从不还嘴
而且他很有钱，退休工资8千他每个月都会分我奶一半，而且我爷每年工资都在增加，我奶天天抽烟喝酒打牌，钱没了继续问我爷要，如果我爷不给她就打人，不过前几年她因为身体不好了也打不动我爷了，她是我见过命最好的，她的小孩们都会每年给她钱花，再加上我爷每个月的钱，她简直就是富婆，但她全部都花掉了….然后把自己喝死了🙃
  其实我本来很想问她一句：为什么你都活的这么爽了，还要打骂我爷爷，但是很可惜，没来得及问。
  小时候她特别疼我（很奇怪她不疼自己的小孩，但是很疼孙子孙女）我不敢问她为什么要打骂我爷，我一直认为是我爷有问题，才导致我奶奶对他这样，我一直觉得我爷愧对我奶了
但我妈说没有，我奶就是这种性格，平等的创死每一个人，她也喜欢欺负我妈，把我妈气的乳腺增生去医院看病
但是每一个被她欺负过的人都会念着她唯一的一点好….然后一笑而过，我真的觉得很神奇，就像麦琳发神经，然后节目里的人都来哄她一样。
   还有我奶非常会pua，她会哄的身边每一个人都心甘情愿的把钱给她，然后她很会营造一种她付出了非常多，吃了很多苦，全是为了这个家族，但实际她没有上过班，然后我爷爷和她吃喝拉撒都是分开的，洗衣服做家务也是分开弄的，因为我奶不想给他弄东西
反正就是很讨厌我爷…..
  我感觉我奶比麦琳还牛逼，麦琳这样lhl也有脱不开的责任….但我奶的话🙃我不知道说啥了，她命是真的好（不过我还是很喜欢她，因为她对我特别好的，超级宠我，因为她觉得我性格很像她……虽然现在我不觉得这是什么好的夸奖
我也不会学习她）",,,,,2024-11-23T18:39:26,iPhone 14,4,2,0,,,2024-11-23 18:39:26,True
5103899159298905	,P1DqXD14l,"又被留几手气到了哈哈哈哈哈哈哈
真的服了！！！！看完真的感觉我对象还是很好的 ",,,,,2024-11-23T15:44:08,iPhone 14,1,0,0,,,2024-11-23 15:44:08,True
5103642728990583	,P1wLmBIRp,"花王卫生巾 我要杀你全家 我在机场随便买的花王绿色的那个 然后两小时后我下面就长了一个大痘！！！！！！！！！！！！！！！！！！！非常难受
去s吧！！！！！！！ ",,,,,2024-11-22T22:45:10,iPhone 14,1,0,0,,,2024-11-22 22:45:10,True
5103577430754489	,P1v433ahb,之前bt做额头提升的院长现在去哪家🏥了啊 ,,,,,2024-11-22T18:25:42,iPhone 14,1,2,0,,,2024-11-22 18:25:42,True
5103520652465725	,P1tAtalrL,"jq第一眼见到我说 哎呀 变化好大啊（我心想你还能记得我18岁长啥样啊吗）然后他说不过是正向的变漂亮了
真的好会说话哈哈哈哈
我还想说他一点都没变呢！！六年了居然完全没有变化！
而且他超可爱
衣服上别了个多啦a梦哈哈哈哈哈哈哈哈哈 ",,,,,2024-11-22T14:40:05,iPhone 14,0,0,0,,,2024-11-22 14:40:05,True
5103509900888039	,P1tj83J1d,是不是得了癔症,,,,,2024-11-22T13:57:22,iPhone 14,8,0,0,,,2024-11-22 13:57:22,False,5018910292,网红在哪儿V,5103249038250407	,P1mwnyCj5,看完真的不颜值焦虑了，感觉我大学同学化妆做个造型也能当明星👌 ,,"https://wx1.sinaimg.cn/large/005tEPQ0gy1hvu4e89ed3j30p10xewgq.jpg,https://wx1.sinaimg.cn/large/005tEPQ0gy1hvu4e7osfrj30p80xm0up.jpg,https://wx1.sinaimg.cn/large/005tEPQ0gy1hvu4e8oscgj30ng0v9wg0.jpg,https://wx2.sinaimg.cn/large/005tEPQ0gy1hvu559wpytj30jh0jhdhc.jpg",,,2024-11-21T20:40:47,,12326,726,116,,,2024-11-21 20:40:47
