id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106105269355561	,P2yPcDfO9,收到了之前预定的哈利波特盲盒冰箱贴，小小💰大大幸福 ,,,,,2024-11-29T17:50:26,Xiaomi 13 Ultra,1,0,0,,,2024-11-29 17:50:26,True
5106056320256542	,P2xyg14JM,"拥挤的飘窗，压在下面几只不受宠的胡萝卜🥕。
我真的好喜欢各种毛绒玩具。 ",,https://wx2.sinaimg.cn/large/0087MB7agy1hw33kklzbvj30u00u0tdi.jpg,,,2024-11-29T14:35:55,Xiaomi 13 Ultra,2,0,0,,,2024-11-29 14:35:55,True
5106005748223166	,P2weGyvdI,"前几天深夜不知道看啥，看喜剧之王单口季决赛又哭了，不管怎样总会有人爱你。
我们是这样祈求奢望着毫无保留的爱意。 ",,,,,2024-11-29T11:14:58,Xiaomi 13 Ultra,2,0,0,,,2024-11-29 11:14:58,True
5105004383309108	,P26bAdSQI,"被我妈骂得头疼，真想在她叨逼叨的时候拉开窗子跳下去，让她嘶嚎崩溃发疯后悔这么折磨我。
真的很讨厌我妈给我带来的这种不好的影响，我也很喜欢没完没了的抱怨和不能好好说话非要发脾气呵斥。
以后要更平和地对每个人，每件事。 ",,,,,2024-11-26T16:55:54,Xiaomi 13 Ultra,9,6,0,,,2024-11-26 16:55:54,True
5104856488476972	,P22l2zzfm,"早上回卧室看到这个，觉得很漂亮。
喜欢卧室的百叶窗。 ",,https://wx1.sinaimg.cn/large/0087MB7agy1hvz9rs1f40j30u00u00x8.jpg,,,2024-11-26T07:08:13,Xiaomi 13 Ultra,13,3,0,,,2024-11-26 07:08:13,True
5104850679890905	,P22bFFv4J,没看过节目，但是刷到了很多帖子，没骂过一句，因为我不喜欢在公开场合攻击评价另一个女生，尤其是她没做什么伤天害理的事。感情如鱼饮水冷暖自知，就我平时不讲道理乱发脾气的样子哪有资格说别人。管好自己，尊重他人。,,,,,2024-11-26T06:45:08,Xiaomi 13 Ultra,5,0,1,,,2024-11-26 06:45:08,False,7121642724,无边桃炎,5103861580694743	,P1Csm2UJx,舆论发展到这种地步，我现在真的开始怀疑再见爱人这一季是不是芒果台为了帮亲儿子（快男跟芒果的关系都懂）李行亮没有道德压力地摆脱婚姻而设置的，否则我理解不了为什么必须把他并没有违法犯罪的妻子放在聚光灯下被亿万人唾骂，骂到这么恶毒的程度都不停止 ,,"https://wx1.sinaimg.cn/large/007LXGBely1hvw3g2fawdj30zu0p6tcu.jpg,https://wx3.sinaimg.cn/large/007LXGBely1hvw3kmjjlsj30zu0ce41f.jpg,https://wx2.sinaimg.cn/large/007LXGBely1hvw3i0z30pj30u01h3117.jpg",,,2024-11-23T13:14:48,,16844,562,360,,,2024-11-23 13:14:48
5104445094363516	,P1RDvij9i,"对老公是生理性喜欢，他白白嫩嫩的，喜欢贴贴。
睡觉要抱着，还要牵手。 ",,,,,2024-11-25T03:53:29,Xiaomi 13 Ultra,5,0,0,,,2024-11-25 03:53:29,True
5103826099765385	,P1Bx7EYqd,"看不了父女文，闺蜜男友文，姐夫文，因为我真有爹有闺蜜有姐姐，这种太具象了真的生理性厌恶，尤其是还要伤害另一个关系极其亲密的人，简直有毒。
但我还挺喜欢兄妹文的，亲兄妹也不排斥，因为我没亲哥。 ",,,,,2024-11-23T10:53:48,Xiaomi 13 Ultra,67,6,1,,,2024-11-23 10:53:48,True
5103737353797881	,P1zdZfW09,"因为擅自停了药，已经有2个月没来姨妈了，去医院开了催经的药，医生说优思悦要一直吃，对调经，缓解痛经，治疗多囊等都有好处，她有患者吃了好多年捏。
又要开始吃药了，唉。
吃药之后欲望会明显下降，情绪也会很容易失控。
深夜不想睡，很emo ",,,,,2024-11-23T05:01:11,Xiaomi 13 Ultra,31,4,1,,,2024-11-23 05:01:11,True
5103172742023033	,P1kxk8uhz,"笑死，早起出差的老公打视频给我报备，说他到酒店了给我看看酒店只有他一个人，晚点去谈事。
我:并不想看，神经病。
他:今天不是我值班是吧，打扰你了。（他是周一男友）
我:知道就好，再见。
莫名其妙主动报备很可疑！
所以我周四的男朋友在哪里。
前几天有个02年小男生对我孔雀开屏，我:别折磨我了！！！！我真不是异性恋，对男的生理性讨厌。我T0恋。 
广州·火炉山森林公园",,,,广州·火炉山森林公园,2024-11-21T15:37:37,Xiaomi 13 Ultra,16,3,0,,,2024-11-21 15:37:37,True
