id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106136175347274	,P2zD3mr4m,我在家就是这么笑的,,,,,2024-11-29T19:53:14,,1,0,0,,,2024-11-29 19:53:14,False,6267467667,青春影视室,5104649306375670	,P1WWSqKBo,"你比李冰冰漂亮 吼吼吼
 ",,"https://wx4.sinaimg.cn/large/006Q9EEbgy1hvylz8x4inj31400u0mye.jpg,https://wx3.sinaimg.cn/large/006Q9EEbgy1hvylz3xof5j30k00zk3zj.jpg","https://f.video.weibocdn.com/u0/3u16PXvXgx08jRLYGgMU010412001Rkz0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888291&ssig=QiicKvP5E6&KID=unistore,video",,2024-11-25T17:24:57,微博视频号,32,14,17,,,2024-11-25 17:24:57
5106125466503927	,P2zlMrhY3,头发长 脸就小 ,,https://wx1.sinaimg.cn/large/005Qdru6gy1hw3binum1uj33sw5lwb2c.jpg,,,2024-11-29T19:10:41,,1,3,0,,,2024-11-29 19:10:41,True
5106114255915837	,P2z3HoOYJ,难道无孩爱猫女不是未来人形机器人的重要消费者吗？我觉得一笼马斯克应该下跪给泰勒斯威夫特道歉并且亲吻她的脚趾 ,,https://wx2.sinaimg.cn/large/005Qdru6gy1hw3aqzc3tgj30qo15n0yb.jpg,,,2024-11-29T18:26:08,,15,0,13,,,2024-11-29 18:26:08,True
5106103054502767	,P2yLDiTnh,24版录音跟编曲都有很大问题，这么多声音没法听的人唱歌还这么突出人声。女的相对好一点，特别台湾那几个女演员，声音是有态度的。男的有点像样板戏,,,,,2024-11-29T17:41:37,,0,2,0,,,2024-11-29 17:41:37,False,6275217849,君君的旅行日记,5105032880194300	,P26Vy0OxS,"有网友做了一段对比视频，《明天会更好》这首歌，2024版vs 1985版。
你们发现没，2024年版，每一句结尾的音都是下抑的。但1985年版本，每句的尾音都在上扬，带动情绪，坚信明天会更好。
80年代整个世界精神面貌都是昂扬向上的，有冲动，有朝气。新版，可能是每个人更注重唱功，但忽略了这首歌的主题。 
君君的旅行日记的微博视频",,,"https://f.video.weibocdn.com/u0/tceLV3Uugx08jTsFFnji01041202EI0b0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732888261&ssig=m1pjqigocx&KID=unistore,video",,2024-11-26T18:49:08,微博视频号,55107,2874,8874,,,2024-11-26 18:49:08
5106093887328847	,P2ywQuKzd,李行亮的头贴在麦琳的怀里，两人的亲密关系是匹配但又不健康的。麦琳当妈//@梦娜女王度假版:钱挣着了感情能不升温吗？你自己想想,,,,,2024-11-29T17:05:12,,3,0,0,,梦娜女王度假版,2024-11-29 17:05:12,False,7222311371,肖一_Shawy,5105761544309737	,P2pSOi59T,笑死我了好想采访真情实感辱骂过麦琳共情李行亮的网友啊 ,,https://wx4.sinaimg.cn/large/007SM575gy1hw25neadqyj30zo1bk14r.jpg,,,2024-11-28T19:04:35,iPhone客户端,7865,124,409,,,2024-11-28 19:04:35
5106068768427167	,P2xSkzmi3,"有的机构展示操作的视频怎么就是厂家文盲临床老师培训的标准打法？还好意思发网上说是自家独创的三维四维5D6D提升打法？
真是七窍通了六窍 ",,,,,2024-11-29T15:25:23,,1,0,0,,,2024-11-29 15:25:23,True
5105858455535714	,P2sp7ne5I,"其实微博2017年就有很多科医人UP点阵激光的分享了。那时候大家都愿意做功课，比如大家都知道烟酰胺和阿达帕林是好东西，也知道它们会有刺激性
去年我之前推荐孔凤春的唇霜，有人说我是收了钱啥垃圾都接，这唇膏根本不保湿
首先我这号不接推广
然后唇“霜”肯定是没有唇“膏”保湿的，就像乳液比不过厚重面霜
其次我是秋天推荐的它，还没到特别干燥寒冷的时候；
孔凤春那个唇霜可以在没那么干燥的时候单用，频繁使用三次，你的嘴唇即使长时间不补涂也会是水润的，但不会像唇膏那样“油润”。此外可以缓解我的唇炎；你也可以在口红唇釉前打底，来增加滋润度。
而且我怎么涂都不会变猪油嘴这点非常加分
在那之后，我推荐了惜玥的美白精华乳。想到之前的事，于是我额外说明了一下高浓度烟酰胺有刺激性",,,,,2024-11-29T01:29:40,,8,6,0,,,2024-11-29 01:29:40,True
5105852078098061	,P2sePxYFT,"人还是要保留一定的攻击性的，当你的攻击不能向外释放的时候，你就会对向自己。而且攻击性也是部分魅力的来源
你看我现在不撕逼也不骂人，是不是特别像老头？ ",,,,,2024-11-29T01:04:20,,10,4,0,,,2024-11-29 01:04:20,True
5105733451122245	,P2p9v4HWJ,虽然我没追，但我前几天看到有人骂麦琳打包鸡骨头煲汤不禁觉得大家也太好骗了//@MrMoii:……,,,,,2024-11-28T17:12:57,,6,1,1,,MrMoii,2024-11-28 17:12:57,False,1822398137,八酱日常,5105632342969691	,P2mwqcsyf,杨子和黄圣依上一个节目换一个人设 ,,"https://wx4.sinaimg.cn/large/001ZkB0lly1hw1qt6jbd2j61400u0wfx02.jpg,https://wx2.sinaimg.cn/large/001ZkB0lly1hw1qsxu6blj60zo0xdq7r02.jpg,https://wx1.sinaimg.cn/large/001ZkB0lly1hw1qsy48skj60zo16dwl802.jpg,https://wx2.sinaimg.cn/large/001ZkB0lly1hw1qsydsoxj60zo111gsj02.jpg,https://wx2.sinaimg.cn/large/001ZkB0lly1hw1qsyphsdj60zo1bnn4402.jpg","https://f.video.weibocdn.com/o0/94HWJ954lx08jW68pXR601041200vtyR0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732888251&ssig=klSGBl%2Fpfs&KID=unistore,video",,2024-11-28T10:31:11,,41788,2252,4921,,,2024-11-28 10:31:11
5105668837870700	,P2nthx1wM,头特别大的可以买韩国的鸭舌帽，又大又深,,,,,2024-11-28T12:56:12,,6,5,0,,,2024-11-28 12:56:12,False,7269520301,普通美女8,5105489788536362	,P2iOuzOHg,你头大不大带个鸭舌帽就知道了根本不需要测量 ,,,,,2024-11-28T01:04:43,iPhone客户端,3,3,1,,,2024-11-28 01:04:43
5105665305217583	,P2nnAlTkz,"空仓了，下午不出意外大盘又跳水。
下午准备去趟医院治疗胃食道反流，然后去黄金城道看看银杏树 ",,,,,2024-11-28T12:42:10,,1,1,0,,,2024-11-28 12:42:10,True
