id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105578716431788	,P2l7VqZcw,#官方回应殡仪馆用炖盅当骨灰瓮#看过宠物殡葬，几百元的骨灰罐儿，在某宝上也就二十块钱 ,,,,,2024-11-28T06:58:06,,7,3,0,官方回应殡仪馆用炖盅当骨灰瓮,,2024-11-28 06:58:06,True
5105223368443056	,P2bSMzqqk,#警方通报王宝强被举报事件#既然警方认定王宝强不构成犯罪，那么，对方在性质未认同的情况下，公然声称王宝强欺诈，这是不是构成名誉侵权了呢！ ,,,,,2024-11-27T07:26:04,,11,7,0,警方通报王宝强被举报事件,,2024-11-27 07:26:04,True
5105091537537523	,P28s9vCQX,#研究生因扫雪不达标将取消评奖资格#把获得奖学金的资格留给付出更多的同学，这个没有什么错误 ,,,,,2024-11-26T22:42:13,,9,4,0,研究生因扫雪不达标将取消评奖资格,,2024-11-26 22:42:13,True
5104538245661129	,P1U3KnKIx,"大家好，为感谢大家的支持，我将每周一设置成福利日，今日可8折订阅我的年费V+，下单后还可参与抽奖，最高赢888元现金红包！我将为大家带来更多价值的付费内容和专属权益，订阅100%中奖，快来拼手速吧！#领航计划#成为TA的V+会员
 ",,,,,2024-11-25T10:03:38,粉丝订阅,0,1,0,领航计划,,2024-11-25 10:03:38,True
5104500500858998	,P1T4S3BsO,"#发型师晓华已经在为流量退去做准备#流量退去，发型师晓华的生存之道
在这个瞬息万变的时代，流量的消退似乎是一种常态。作为一名发型师，晓华深知这一点，她开始为顾客提供更为个性化的服务，以适应市场的变化。
晓华决定与其追逐短暂的流量，不如打造长久的客户关系。她定期与客户沟通，了解他们的需求和喜好，从而提供更贴心的服务。
她积极参与社交媒体，通过分享自己的作品和发型技巧来吸引新客户。晓华相信，虽然流量会退去，但优质的服务和真诚的态度永远不会过时。",,,,,2024-11-25T07:33:39,,12,7,0,发型师晓华已经在为流量退去做准备,,2024-11-25 07:33:39,True
5104381156133558	,P1PYnpJCm,#交警大队院前黄牛扎推买卖分赶不走#交警大队都见怪不怪了，猫和老鼠都能做朋友，和黄牛也能坐下来喝一壶 ,,,,,2024-11-24T23:39:25,,33,10,0,交警大队院前黄牛扎推买卖分赶不走,,2024-11-24 23:39:25,True
5104375120531986	,P1POE2eoq,"#34岁女子骨癌化疗17次又确诊白血病#大病重病是越来越多了，有时候在想，我们是不是能自己把自己团灭了
 ",,,,,2024-11-24T23:15:26,,12,7,0,34岁女子骨癌化疗17次又确诊白血病,,2024-11-24 23:15:26,True
5104373593804297	,P1PMbfXFD,#东方小孙回归东方甄选#一切真相都将随互联网的淡忘而水落石出。 ,,,,,2024-11-24T23:09:22,,14,5,0,东方小孙回归东方甄选,,2024-11-24 23:09:22,True
5103656781483859	,P1x826e1d,#女子晒100多个柿子全被鸟叼走了#鸟：有人发福利啦，集美们快冲！ ,,,,,2024-11-22T23:41:01,,8,5,0,女子晒100多个柿子全被鸟叼走了,,2024-11-22 23:41:01,True
5103655818891910	,P1x6tBjbU,"#直播间159买的鹅绒服是什么绒#中国人不骗中国人
 ",,,,,2024-11-22T23:37:11,,7,5,0,直播间159买的鹅绒服是什么绒,,2024-11-22 23:37:11,True
5103287642362172	,P1nwE9Uvy,"#王宝强被举报涉嫌欺诈#王宝强自己能拿到5%的分红吗？片酬除外。1.1亿能买下那间俱乐部了
 ",,,,,2024-11-21T23:14:11,,12,8,0,王宝强被举报涉嫌欺诈,,2024-11-21 23:14:11,True
5103285784807098	,P1ntEkaxQ,#女子拒还前男友1170万买房款#最新还了800万，还剩370万，大约已经调解了。这种就是典型的将贪心凌驾于法律之上。 ,,,,,2024-11-21T23:06:48,,22,6,0,女子拒还前男友1170万买房款,,2024-11-21 23:06:48,True
5102931785812864	,P1egGoobS,"#金价连跌近10%后二连涨#看临近的珠宝店都门可罗雀了，里面只有服务员，感情金价的暴涨是独自美丽
 ",,,,,2024-11-20T23:40:08,,8,9,0,金价连跌近10%后二连涨,,2024-11-20 23:40:08,True
5102931030573140	,P1eft2p6c,#小狗离世前十分钟医师对它吐烟#这种宠物医生就是把小动物作为敛财的工具，不会真心爱他们的，他们对动物的死亡非常漠视 ,,,,,2024-11-20T23:37:07,,16,6,0,小狗离世前十分钟医师对它吐烟,,2024-11-20 23:37:07,True
5102930235491267	,P1eebn2wP,#警方通报女子驾车碾压一倒地者致死#为什么不通报是反复碾压呢？还是说网上所说的反复碾压是谣传？ ,,,,,2024-11-20T23:33:58,,8,5,0,警方通报女子驾车碾压一倒地者致死,,2024-11-20 23:33:58,True
