id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106112217485324	,P2z0pvph2,"今年第9季游记，出任务的是：探险者-昆仑巅峰版+烈马+F150-猛禽。
这昆仑巅峰探险者跟大脚版烈马摆一起，气势没输，可以啊。 ",,https://wx1.sinaimg.cn/large/001iJz7Kly1hw3a00nthnj63402c0b2a02.jpg,,,2024-11-29T18:18:02,华为Mate60RS非凡大师,125,71,4,,,2024-11-29 18:18:02,True
5106107662732170	,P2yT4bsLg,"理想这个猛：
0利息0手续费，最低不到7万可以开上L6了。 ",,https://wx2.sinaimg.cn/large/001iJz7Kly1hw39gd6ou0j60v91voqgy02.jpg,,,2024-11-29T17:59:56,华为Mate60RS非凡大师,200,61,14,,,2024-11-29 17:59:56,True
5106104614784823	,P2yO9k4Kz,"最近我车库里的好玩意，和我们在准备啥。
有意思，有个大车库就是好玩，并且同事们也很爽。#微博骑遇记# #微博跨域计划#  
韩路的微博视频
 ",,,"https://f.video.weibocdn.com/o0/DV4hBasclx08jYb9UhX201041202m3Z40E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881904&ssig=TlVjAYbjVV&KID=unistore,video",,2024-11-29T17:47:50,微博视频号,91,19,8,"微博骑遇记,微博跨域计划",,2024-11-29 17:47:50,True
5106084647797829	,P2yhWwIzr,"叠衣服机器人，这我太需要了啊！
你们需要不？咱们团购下。 
韩路的微博视频
 ",,,"https://f.video.weibocdn.com/o0/o3CcmITklx08jY5GKMM0010412005YLz0E010.mp4?label=mp4_ld&template=480x258.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881904&ssig=A0WeCYjUFY&KID=unistore,video",,2024-11-29T16:28:29,微博视频号,184,80,24,,,2024-11-29 16:28:29,True
5106068814563884	,P2xSpj9h2,"我的24款探险者-昆仑巅峰版轻改完了，过几天陪我去今年第9季韩路游记。另外，他也是拖我家房车的车型。
为啥它拖？因为C6驾照要求前后车加一起不超4.5吨，这车非新能源，比较轻。
为了给房车供电，除了主电瓶换成瓦尔塔大功率电瓶外，后备厢又装了个第二个瓦尔塔电瓶，和3000W逆变器，给房车供电就烧油就行了，功率够了。 
这个银色很好看，原厂带AT胎和后锁及2.1吨牵引资质。",,"https://wx1.sinaimg.cn/large/001iJz7Kly1hw34x8ki1tj63342bcqv502.jpg,https://wx2.sinaimg.cn/large/001iJz7Kly1hw34x9imq4j63342bc4qq02.jpg,https://wx3.sinaimg.cn/large/001iJz7Kly1hw34xao4esj63342bc4qq02.jpg,https://wx1.sinaimg.cn/large/001iJz7Kly1hw34xbymtdj63342bcqv502.jpg,https://wx2.sinaimg.cn/large/001iJz7Kly1hw34xdhzgtj63402c0u1002.jpg,https://wx1.sinaimg.cn/large/001iJz7Kly1hw34xf1lz8j63402c0u0z02.jpg,https://wx1.sinaimg.cn/large/001iJz7Kly1hw34xgok34j63402c0hdx02.jpg,https://wx2.sinaimg.cn/large/001iJz7Kly1hw34xi76x4j63402c0npg02.jpg",,,2024-11-29T15:25:34,华为Mate60RS非凡大师,169,97,5,,,2024-11-29 15:25:34,True
5106054054546952	,P2xuBj4RW,"军哥，你为什么要说谎
//@雷军:这个测试生动展示了刹车盘的工作情况，绝对涨见识！",,,,,2024-11-29T14:26:55,华为Mate60RS非凡大师,207,54,9,,雷军,2024-11-29 14:26:55,False,1192966660,韩路,5106017082021010	,P2wwY8tKW,"#毁灭测试小米碳陶刹车31次未失效#毁灭性测试好爽！我是万万没想到，雷军我军哥说谎啊……
注：测试仪带有车重和乘客重量模拟、带有对应车速刹车通风模拟。
说刹车不带车重的，请动动脑子，如果盘在轴上空转不带负载，我俩手指就捏停了，咋可能摩擦出700多度？？？
韩路的微博视频
 ",,,"https://f.video.weibocdn.com/o0/9JW4QzqKlx08jXIisU9W01041205au5T0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881848&ssig=4LrEMvzsWi&KID=unistore,video",,2024-11-29T12:00:00,微博视频号,3915,455,219,毁灭测试小米碳陶刹车31次未失效,,2024-11-29 12:00:00
5106052728623542	,P2xssAbno,"【转发+评论】原博，给粉丝朋友抽一套价值590元的拓意红旗历年检阅车的模型套装，一共4款，还原度很高，质感非常好，适合收藏，12月6日开，奖品→ 
查看图片",,,,,2024-11-29T14:21:39,微博网页版,89,47,44,,,2024-11-29 14:21:39,False,1192966660,韩路,5105775494302633	,P2qfji3jj,"顶级超豪国车是什么水平？#红旗金葵花国雅# 
韩路的微博视频
 ",,,"https://f.video.weibocdn.com/o0/G4rH1EQelx08jWypoTL20104120f5cab0E060.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1A0FCw2LWp6K2e&Expires=1732881848&ssig=3U3485ugkh&KID=unistore,video",,2024-11-28T20:00:01,微博视频号,1290,829,789,红旗金葵花国雅,,2024-11-28 20:00:01
5106027794007156	,P2wOfgOry,不好意思，图2国礼素车758万，600万不卖。//@四海九州宋东坡:搞笑么，这个五六百万。,,,,,2024-11-29T12:42:33,华为Mate60RS非凡大师,502,146,10,,四海九州宋东坡,2024-11-29 12:42:33,False,1192966660,韩路,5105992167590739	,P2vSMvQHh,"红旗L5和红旗国礼，太尊了，好喜欢啊。
这辈子得买一台。 ",,"https://wx1.sinaimg.cn/large/001iJz7Kly1hw2w6vrbnij63342bckjm02.jpg,https://wx2.sinaimg.cn/large/001iJz7Kly1hw2w6y0da6j63342bckjm02.jpg,https://wx1.sinaimg.cn/large/001iJz7Kly1hw2w70i4x4j63342bc7wj02.jpg",,,2024-11-29T10:21:00,华为Mate60RS非凡大师,781,239,19,,,2024-11-29 10:21:00
5106017082021010	,P2wwY8tKW,"#毁灭测试小米碳陶刹车31次未失效#毁灭性测试好爽！我是万万没想到，雷军我军哥说谎啊……
注：测试仪带有车重和乘客重量模拟、带有对应车速刹车通风模拟。
说刹车不带车重的，请动动脑子，如果盘在轴上空转不带负载，我俩手指就捏停了，咋可能摩擦出700多度？？？
韩路的微博视频
 ",,,"https://f.video.weibocdn.com/o0/9JW4QzqKlx08jXIisU9W01041205au5T0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881848&ssig=4LrEMvzsWi&KID=unistore,video",,2024-11-29T12:00:00,微博视频号,3915,455,219,毁灭测试小米碳陶刹车31次未失效,,2024-11-29 12:00:00,True
5106000413590515	,P2w65f43x,"今儿带曾经打美国U2飞机的雷达站的老兵，看红旗金葵花。
大爷通过儿子在私信联系我们，希望看看红旗，一会儿我带爷爷开红旗路过趟天安门拍拍照。 ",,"https://wx1.sinaimg.cn/large/001iJz7Kly1hw2x4gv6d7j62bc334qv602.jpg,https://wx1.sinaimg.cn/large/001iJz7Kly1hw2x4k6r31j62bc334b2a02.jpg,https://wx2.sinaimg.cn/large/001iJz7Kly1hw2x46fajvj63342bc4qq02.jpg,https://wx2.sinaimg.cn/large/001iJz7Kly1hw2x49tehkj63342bc1ky02.jpg,https://wx4.sinaimg.cn/large/001iJz7Kly1hw2x4bt1u0j63342bcnpe02.jpg,https://wx4.sinaimg.cn/large/001iJz7Kly1hw2x4da3j4j62tc2401ky02.jpg",,,2024-11-29T10:53:46,华为Mate60RS非凡大师,2775,477,75,,,2024-11-29 10:53:46,True
