id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106061406639216	,P2xGsrRa8,今天如果大盘够强，我们肯定要追加的，但是又是尾盘跳水，说明主力不够坚决，这就有些不确定性，后市涨跌五五开，我不想带这么多人去赌，我们现在也有很多仓位，继续上涨我们也是吃肉，犯不着弄险，我必须考虑大家集体的利益，机会更好的时候我们再伺机而动，大家周末愉快，下周再战。 ,,,,,2024-11-29T14:56:08,iPhone 13 Pro Max,649,358,4,,,2024-11-29 14:56:08,True
5106057040887920	,P2xzq3IZi,还是有些跳水，既然如此，今天所有加仓操作取消，机会更好时再加。 ,,,,,2024-11-29T14:38:46,iPhone 13 Pro Max,643,421,7,,,2024-11-29 14:38:46,True
5106050638283156	,P2xp5yKPi,大家都不要走，如果一会收盘前跳水严重，就取消操作，记得两点五十之前回来看一眼。 ,,,,,2024-11-29T14:13:20,iPhone 13 Pro Max,559,279,4,,,2024-11-29 14:13:20,True
5106043179238613	,P2xd3CLnT,今天我自己的操作是，华泰柏瑞南方东英恒生科技指数ETF联接C015311加仓五万，华泰柏瑞中证稀土产业ETF联接C014332建仓四万，诺安创业板指数增强C010356加仓三万，博时上证科创板100ETF联接C019858加仓一万，博时中证A500ETF联接C022458加仓一万，华泰柏瑞中证A500ETF联接C022439加仓一万。 ,,,,,2024-11-29T13:43:42,iPhone 13 Pro Max,626,404,9,,,2024-11-29 13:43:42,True
5106006642396672	,P2wg8a3u0,今天大盘如果保持涨势，我们继续再追加一些仓位，具体以下午为准。 ,,,,,2024-11-29T11:18:31,iPhone 13 Pro Max,621,321,8,,,2024-11-29 11:18:31,True
5105961948153463	,P2v62yd5t,创业板和科创版我也想每只搭配两只，同一个板块之间涨跌也有差异，平衡一下，外加一只稀土。 ,,,,,2024-11-29T08:20:55,iPhone 13 Pro Max,621,281,11,,,2024-11-29 08:20:55,True
5105957518443144	,P2uYTzqrK,这是目前持仓情况，本金➕利润合计65左右，其中利润12万左右，本金53万左右。 ,,https://wx4.sinaimg.cn/large/008yrVGily1hw2re8pt8mj30zo0pkabt.jpg,,,2024-11-29T08:03:19,iPhone 13 Pro Max,665,266,12,,,2024-11-29 08:03:19,True
5105719179477874	,P2oMtDLCW,知道了整体大盘运行结构，认清方向，这次我们不要再纠结，知行合一，近期只要回调我们就考虑果断出手。 ,,,,,2024-11-28T16:16:15,iPhone 13 Pro Max,644,264,3,,,2024-11-28 16:16:15,True
5105681709663633	,P2nO2ExX3,今天我自己的操作是，景顺长城创业板50ETF联接C017950建仓三万，华泰柏瑞南方东英恒生科技指数ETF联接C015311加仓三万。明确了结构，就知道后面怎么操作，当前位置结合目前的时间，我的做法是封跌积极布局，短期往下的空间并不大，今天开始分批潜伏。 ,,,,,2024-11-28T13:47:21,iPhone 13 Pro Max,875,542,12,,,2024-11-28 13:47:21,True
5105657552574016	,P2nb5aNCo,近期蚂蚁那面有一些金额很大的机构号，收益超级好看，各位当心，那是耳，如果你当真了，迟早把你埋了。 ,,,,,2024-11-28T12:11:22,iPhone 13 Pro Max,590,261,11,,,2024-11-28 12:11:22,True
