id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106102457074338	,P2yKFtGme,每天上学的穿搭 帽子上面叠帽子 羽绒服里套羽绒服 秋裤外面是破洞裤 ,,"https://wx2.sinaimg.cn/large/006wuLBVgy1hw38uzfp65j30k00zk427.jpg,https://wx3.sinaimg.cn/large/006wuLBVgy1hw38vm65edj30zk0k00y1.jpg,https://wx3.sinaimg.cn/large/006wuLBVgy1hw38vnjmu2j30u01hcamo.jpg",,,2024-11-29T17:39:15,iPhone客户端,16,5,0,,,2024-11-29 17:39:15,True
5105827230521091	,P2rAL2byH,这世界是不是耗儿药吃多了 这么对我 ,,,,,2024-11-28T23:25:36,iPhone客户端,28,3,0,,,2024-11-28 23:25:36,True
5105112240359367	,P28Zy1vuf,xhs这是我第164次想要告你诈骗 ,,,,,2024-11-27T00:04:29,iPhone客户端,13,3,0,,,2024-11-27 00:04:29,True
5105012101354772	,P26o25Gra,还是做不到吗0 ,,https://wx3.sinaimg.cn/large/006wuLBVgy1hvzrnfvpahj32c0340u0x.jpg,,,2024-11-26T17:26:34,iPhone客户端,93,6,1,,,2024-11-26 17:26:34,True
5104655944387530	,P1X7AipoC,一想到这周忙完可以躺平 我真的有点激动到流泪 ,,https://wx2.sinaimg.cn/large/006wuLBVgy1hvymqh6vfwj30r20r2wgh.jpg,,,2024-11-25T17:51:20,iPhone客户端,24,5,0,,,2024-11-25 17:51:20,True
5104350659350548	,P1PbbDevi,其实客观来说我不是一个有强迫症的人 但我爱等到整点才会睡觉 比如现在9.38我会等到十点才睡 ,,,,,2024-11-24T21:38:14,iPhone客户端,49,4,0,,,2024-11-24 21:38:14,True
5104254287611802	,P1MFKvWb0,换了一个新耳钉 素颜带被说像美国gangster ,,https://wx3.sinaimg.cn/large/006wuLBVgy1hvxcl6mn93j33402c07wi.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002pqRjRgx08jQ2d0X7F0f0f0100dC6o0k01.mov,,2024-11-24T15:15:17,iPhone客户端,310,14,2,,,2024-11-24 15:15:17,True
5104253507732635	,P1MEuwrBV,我这个脑袋啊 懵逼的人啊 这超绝钝感力啊 ,,,,,2024-11-24T15:12:11,iPhone客户端,25,1,0,,,2024-11-24 15:12:11,True
5104251616104956	,P1MBrpCb2,智商不高不低 刚好把自己不想做的事情干完了才觉得不爽 ,,,,,2024-11-24T15:04:40,iPhone客户端,27,3,0,,,2024-11-24 15:04:40,True
5103926471037194	,P1E914lOW,广告图也拍的很美啊 ,,"https://wx2.sinaimg.cn/large/006wuLBVgy1hvwayrxk6hj32c03407wj.jpg,https://wx4.sinaimg.cn/large/006wuLBVgy1hvwaytl6o2j32c0340qv6.jpg,https://wx2.sinaimg.cn/large/006wuLBVgy1hvwayv0jv4j32c0340npe.jpg,https://wx2.sinaimg.cn/large/006wuLBVgy1hvwayqc0ryj32c03404qr.jpg,https://wx2.sinaimg.cn/large/006wuLBVgy1hvwaywvb5rj32c03407wj.jpg,https://wx2.sinaimg.cn/large/006wuLBVgy1hvwayyjuicj32c0340x6q.jpg",,,2024-11-23T17:32:40,iPhone客户端,156,16,1,,,2024-11-23 17:32:40,True
5103500321357995	,P1t3G5Hh9,我最近被这个吐司下了药 ,,https://wx1.sinaimg.cn/large/006wuLBVgy1hvuy0fpqicj32c0340qv5.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003RKEb7gx08jMIsHHDN0f0f0100rVkj0k01.mov,,2024-11-22T13:19:17,iPhone客户端,38,7,0,,,2024-11-22 13:19:17,True
5102798040996180	,P1aMY4b9q,我在等妮妮 ,,"https://wx4.sinaimg.cn/large/006wuLBVgy1hvspce1amoj31sc2ds4qq.jpg,https://wx3.sinaimg.cn/large/006wuLBVgy1hvspc7lupej31sc2dsnpe.jpg,https://wx2.sinaimg.cn/large/006wuLBVgy1hvspcajfstj32c0340x6r.jpg,https://wx2.sinaimg.cn/large/006wuLBVgy1hvspccg7rgj31sc2dskjm.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0036KJldgx08jJCLFnYb0f0f0100urB60k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003OlW3kgx08jJCN4Iw70f0f0100or070k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003getB8gx08jJCNMTMY0f0f0100vpdO0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000Xm6jIgx08jJCOTj030f0f0100wIG30k01.mov,,2024-11-20T14:48:41,iPhone客户端,215,34,2,,,2024-11-20 14:48:41,True
5102787782776076	,P1awqbEbq,谁的小可爱掉在这里了 ,,"https://wx4.sinaimg.cn/large/006wuLBVgy1hvso68l0g8j32c0340hdw.jpg,https://wx4.sinaimg.cn/large/006wuLBVgy1hvso6brsgtj32c0340u10.jpg,https://wx1.sinaimg.cn/large/006wuLBVgy1hvso6ejqtej32c0340b2c.jpg,https://wx1.sinaimg.cn/large/006wuLBVgy1hvso6gmikqj32c0340u0x.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F00213pnqgx08jJzZD4w80f0f0100jEF30k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002XwZGggx08jJA0lS1V0f0f0100rvuL0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001yqv0Tgx08jJA16wWb0f0f0100zXRN0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000tATpBgx08jJA1k5oH0f0f0100i4oX0k01.mov,,2024-11-20T14:07:55,iPhone客户端,83,4,0,,,2024-11-20 14:07:55,True
