id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5103029000864385	,P1gNu3CRH,不要问我场子的事 其实大家都是做yc 的 要去哪个场子花个几天问姐妹要个领队就可以去了 看几天就知道怎么回事 问了半天问我什么好不好上班 我都没见过你我怎么知道 还有咱两是陌生人哎 我回答你那么多问题干嘛 微博有值得讨论的问题一起交流一下就好了说 如果非要问请给我发个188口令红包 ,,,,,2024-11-21T06:06:26,iPhone 16 Pro Max,11,3,0,,,2024-11-21 06:06:26,True
5106137680055233	,P2zFu0emR,来大姨妈是人生最落寞的时候 妈咪也不叼我 队长也不叼我 男朋友也不叼我 客人也不叼我 ,,,,,2024-11-29T19:59:13,iPhone 16 Pro Max,7,1,0,,,2024-11-29 19:59:13,True
5105306122848799	,P2e2gbX6n,在sh 碰到河you菌 来玩 点了还问那个女孩能不能ct 所以爱妻人设都是假的。。 ,,,,,2024-11-27T12:54:54,iPhone 16 Pro Max,135,50,1,,,2024-11-27 12:54:54,True
5104779023615011	,P20k6faqD,"明年房价再降点 一定要买个自己的房子
 ",,,,,2024-11-26T02:00:24,iPhone 16 Pro Max,5,12,0,,,2024-11-26 02:00:24,True
5103562439001770	,P1uFRBLLQ,通知：因今年大环境不行，本人全国可飞改成全国可绿皮火车 ,,,,,2024-11-22T17:26:08,iPhone 16 Pro Max,21,6,3,,,2024-11-22 17:26:08,True
5103387701936624	,P1q8287NS,凌晨5点半的休息室 ,,https://wx2.sinaimg.cn/large/0088NNJrgy1hvul38w2qhj33b04eokjo.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004yE1F3jx08jMdJjFUz0f0f0100eiCK0k01.mov,,2024-11-22T05:51:47,iPhone 16 Pro Max,6,3,0,,,2024-11-22 05:51:47,True
5102932880000503	,P1eis0087,"表面上市场在洗牌，其实洗的是人
不思‬进取、懒惰、跟不上节奏‬的必将出局 ",,,,,2024-11-20T23:44:29,iPhone 16 Pro Max,21,1,2,,,2024-11-20 23:44:29,True
5102634632217131	,P16xp9iMb,转发微博,,,,,2024-11-20T03:59:21,iPhone 16 Pro Max,5,0,2,,,2024-11-20 03:59:21,False,1958948282,夜场风月情,5037985127467681	,OfWakvkGt,颜值身材可以通过健身来提升，钱可以去挣，哄男人的本事可以学。 你有什么可抱怨的呢？世界上一半的事都很简单，做了就有，不做就没有。 ,,,,,2024-05-25T18:25:18,,655,17,176,,,2024-05-25 18:25:18
5102588387132164	,P15kOtVoU,普通人翻身的四大出路：出国 出家 出台 出马 ,,,,,2024-11-20T00:55:35,iPhone 16 Pro Max,33,0,6,,,2024-11-20 00:55:35,True
5102378466677271	,P0ZSes13V,"又是赚2.5w 的一天 昨晚一个1 今早一个1.5  最近要发财了
  今早这男的还送了一套莱伯妮
 这莱伯妮看了一下小红书要小一万 ",,"https://wx3.sinaimg.cn/large/0088NNJrly1hvrd5jnfusj30q714vjzz.jpg,https://wx3.sinaimg.cn/large/0088NNJrly1hvrd5k5n2lj30u01hcwon.jpg,https://wx2.sinaimg.cn/large/0088NNJrly1hvrd8b043jj32c0340u0x.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0038ymG3gx08jHMvnY8U0f0f0100buwP0k01.mov,,2024-11-19T11:01:27,iPhone 16 Pro Max,41,28,1,,,2024-11-19 11:01:27,True
5102242456404970	,P0WkRqSdY,转发微博,,,,,2024-11-19T02:00:59,iPhone 16 Pro Max,1,0,0,,,2024-11-19 02:00:59,False,6599823312,永远整运爆棚的兔子,5060191663950105	,OpfRkgzBn,"老铁们我真是很喜欢这个美女的鼻子
她就是我坚定不移的鼻子模版，不会换别人了
感觉gzx做的和这个有点像，但他把我拒了
xhw的感觉更硬朗，不是这种茶茶的温柔风
还有谁能做这种风格啊啊啊啊啊啊…..
我愿用我十年的桃花运换一个美丽的鼻子🙏 ",,"https://wx2.sinaimg.cn/large/007cEbx6gy1hs0ry0ctluj31401hcqf1.jpg,https://wx3.sinaimg.cn/large/007cEbx6gy1hs0ry2un0oj31401hcalf.jpg,https://wx2.sinaimg.cn/large/007cEbx6gy1hs0rzpg1jgj30tm1gm7pg.jpg,https://wx1.sinaimg.cn/large/007cEbx6gy1hs0rzq4g79j31401hce81.jpg,https://wx1.sinaimg.cn/large/007cEbx6gy1hs0rzqolk9j30u21hc4e3.jpg,https://wx4.sinaimg.cn/large/007cEbx6gy1hs0rzrpk73j30u01hckhe.jpg,https://wx1.sinaimg.cn/large/007cEbx6gy1hs0rzsauz6j30u01hctz6.jpg,https://wx1.sinaimg.cn/large/007cEbx6gy1hs0rzwxn6fj30wi1ycqsz.jpg,https://wx4.sinaimg.cn/large/007cEbx6gy1hs0s061fwbj30wi1ycqtb.jpg",,,2024-07-26T01:06:09,iPhone 13 Pro,858,124,328,,,2024-07-26 01:06:09
